D3,1,2,3,4
0,355,399,1557,2384
1,416,383,2071,2125
2,436,477,2381,1681
3,364,442,2536,1161
4,365,329,2696,865
5,340,319,2641,649
6,331,366,2450,536
7,299,300,2366,432
8,281,320,2315,356
9,283,313,2113,301
10,239,266,2053,270
11,262,248,1836,215
12,2232,2310,13581,627
ND3,1,2,3,4
0,292,811,4505,3085
1,266,919,5033,3095
2,321,942,5249,2494
3,291,892,5445,1840
4,257,874,5449,1444
5,257,856,5278,1244
6,215,845,5120,1037
7,209,811,4887,808
8,216,809,4767,605
9,194,765,4444,513
10,198,719,4086,347
11,177,670,3855,316
12,1717,6132,26102,871
ND3vD,1,2,3,4
0,124,470,2659,1424
1,164,542,2943,1334
2,138,522,2891,1168
3,139,526,2824,966
4,143,485,2786,773
5,130,475,2620,696
6,123,485,2505,535
7,113,451,2291,502
8,90,392,2160,409
9,97,364,2022,362
10,82,356,1861,294
11,102,350,1734,249
12,759,2537,10697,1007
D4,1,2,3,4
0,365,381,1007,2924
1,362,340,936,3345
2,300,343,757,3319
3,280,287,628,3260
4,236,230,506,3215
5,204,220,440,3057
6,164,183,336,2965
7,148,139,344,2726
8,121,120,258,2552
9,105,124,222,2394
10,73,89,197,2234
11,66,88,174,2107
12,303,310,729,13658
ND4,1,2,3,4
0,269,632,2771,5021
1,272,639,2687,5715
2,234,507,2156,6109
3,166,456,1540,6306
4,138,393,1190,6303
5,111,372,1004,6148
6,89,290,876,5962
7,75,246,675,5719
8,42,175,539,5641
9,37,146,474,5259
10,31,84,341,4894
11,30,87,298,4603
12,107,204,905,33606
ND4vD,1,2,3,4
0,144,415,2151,1985
1,138,370,1865,2622
2,136,361,1442,3036
3,89,300,995,3119
4,68,241,711,3235
5,50,179,554,3166
6,43,156,463,3021
7,35,96,383,2883
8,26,77,316,2853
9,31,74,266,2639
10,14,50,267,2497
11,4,28,214,2315
12,48,75,644,17983
