Round,Seat,My score,Shimo score,Toimen score,Kami score,Current reward,Tsumo 8000,Dealin Shimo,Dealin Toimen,Dealin Kami,Round passes,Coinflip Shimo,Coinflip Toimen,Coinflip Kami,Coinflip avg
E3,East,25000,25000,25000,25000,-7,57,-83,-83,-84,-9,0.89,0.89,0.88,0.89
E3,South,25000,25000,25000,25000,-1,69,-79,-77,-72,-2,0.92,0.95,0.99,0.95
S1,East,25000,25000,25000,25000,-7,73,-107,-105,-110,-4,0.75,0.76,0.73,0.75
S1,South,25000,25000,25000,25000,-6,90,-109,-114,-92,-9,0.99,0.94,1.12,1.02
S3,East,25000,25000,25000,25000,-11,103,-168,-163,-174,2,0.59,0.61,0.56,0.59
S3,South,25000,25000,25000,25000,-5,118,-149,-143,-131,-7,0.87,0.91,0.97,0.92
E3,East,30000,20000,25000,25000,40,91,-41,-35,-36,46,0.52,0.56,0.55,0.54
E3,South,30000,20000,25000,25000,41,104,-31,-31,-27,45,0.78,0.78,0.94,0.83
S1,East,30000,20000,25000,25000,52,102,-46,-37,-37,60,0.38,0.42,0.42,0.41
S1,South,30000,20000,25000,25000,50,112,-54,-40,-35,57,0.49,0.57,0.73,0.6
S3,East,30000,20000,25000,25000,72,120,-97,-35,-36,86,0.18,0.27,0.27,0.24
S3,South,30000,20000,25000,25000,84,130,-83,-52,-40,88,0.25,0.3,0.37,0.31
E3,East,40000,20000,20000,20000,100,122,59,59,60,104,0.38,0.37,0.39,0.38
E3,South,40000,20000,20000,20000,105,126,62,61,54,108,0.39,0.38,0.41,0.39
S1,East,40000,20000,20000,20000,112,129,77,78,77,116,0.33,0.34,0.33,0.33
S1,South,40000,20000,20000,20000,111,130,74,77,65,118,0.27,0.29,0.43,0.33
S3,East,40000,20000,20000,20000,125,131,108,105,103,130,0.04,0.04,0.04,0.04
S3,South,40000,20000,20000,20000,128,132,106,105,100,131,0.08,0.08,0.18,0.11
E3,East,40000,35000,15000,10000,100,120,58,53,57,98,0.51,0.46,0.5,0.49
E3,South,40000,35000,15000,10000,101,122,60,58,57,105,0.38,0.36,0.48,0.41
S1,East,40000,35000,15000,10000,103,125,66,64,70,105,0.51,0.49,0.57,0.52
S1,South,40000,35000,15000,10000,105,127,67,67,62,108,0.46,0.46,0.51,0.48
S3,East,40000,35000,15000,10000,111,129,67,82,80,117,0.24,0.33,0.32,0.3
S3,South,40000,35000,15000,10000,113,131,72,84,77,119,0.26,0.34,0.5,0.37
E3,East,10000,30000,30000,30000,-134,-72,-192,-192,-190,-146,1.61,1.57,1.64,1.61
E3,South,10000,30000,30000,30000,-133,-68,-182,-180,-179,-136,1.43,1.49,1.41,1.44
S1,East,10000,30000,30000,30000,-148,-88,-204,-202,-202,-169,2.31,2.45,2.45,2.4
S1,South,10000,30000,30000,30000,-153,-105,-199,-196,-189,-159,1.41,1.53,1.33,1.42
S3,East,10000,30000,30000,30000,-168,-124,-207,-207,-207,-202,15.6,15.6,15.6,15.6
S3,South,10000,30000,30000,30000,-167,-134,-204,-206,-200,-184,2.55,2.32,1.03,1.97
E3,East,10000,15000,40000,35000,-113,-53,-190,-168,-167,-120,0.93,1.35,1.4,1.23
E3,South,10000,15000,40000,35000,-115,-54,-176,-167,-165,-116,1.02,1.2,1.18,1.13
S1,East,10000,15000,40000,35000,-122,-57,-197,-180,-179,-133,1.17,1.62,1.62,1.47
S1,South,10000,15000,40000,35000,-125,-56,-189,-181,-176,-130,1.28,1.48,1.38,1.38
S3,East,10000,15000,40000,35000,-146,-52,-209,-196,-194,-166,2.65,3.8,4.07,3.51
S3,South,10000,15000,40000,35000,-151,-42,-205,-197,-186,-170,3.66,4.74,3.11,3.84
E3,East,24000,26000,25000,25000,-16,50,-92,-93,-93,-20,1.0,0.97,0.97,0.98
E3,South,24000,26000,25000,25000,-12,62,-87,-87,-81,-14,1.01,1.03,1.06,1.03
S1,East,24000,26000,25000,25000,-19,66,-118,-116,-122,-22,0.9,0.92,0.87,0.9
S1,South,24000,26000,25000,25000,-19,78,-118,-122,-102,-25,1.12,1.07,1.15,1.11
S3,East,24000,26000,25000,25000,-35,94,-178,-173,-182,-36,0.92,0.95,0.89,0.92
S3,South,24000,26000,25000,25000,-33,109,-158,-151,-136,-35,1.17,1.24,1.38,1.26
E3,East,25000,30000,25000,20000,-2,57,-75,-79,-85,-5,0.89,0.84,0.78,0.84
E3,South,25000,30000,25000,20000,2,68,-70,-74,-73,2,0.89,0.86,0.86,0.87
S1,East,25000,30000,25000,20000,-2,72,-93,-93,-110,-5,0.86,0.86,0.72,0.81
S1,South,25000,30000,25000,20000,0,80,-94,-102,-98,2,0.8,0.74,0.8,0.78
S3,East,25000,30000,25000,20000,10,96,-154,-148,-170,16,0.47,0.49,0.43,0.46
S3,South,25000,30000,25000,20000,10,113,-144,-140,-126,14,0.64,0.65,0.75,0.68
E3,East,25000,40000,10000,25000,7,57,-45,-69,-57,7,0.98,0.67,0.78,0.81
E3,South,25000,40000,10000,25000,5,61,-43,-66,-56,9,1.04,0.72,0.92,0.89
S1,East,25000,40000,10000,25000,11,66,-41,-88,-56,19,0.8,0.45,0.65,0.63
S1,South,25000,40000,10000,25000,8,74,-42,-82,-52,14,1.07,0.62,1.1,0.93
S3,East,25000,40000,10000,25000,21,76,-37,-124,-37,25,0.84,0.35,0.84,0.68
S3,South,25000,40000,10000,25000,22,81,-39,-134,-49,27,0.85,0.34,0.85,0.68
E3,East,35000,40000,10000,15000,72,106,37,24,24,69,1.12,0.78,0.8,0.9
E3,South,35000,40000,10000,15000,71,107,38,26,24,73,0.94,0.72,0.77,0.81
S1,East,35000,40000,10000,15000,75,107,44,33,32,77,0.97,0.72,0.7,0.8
S1,South,35000,40000,10000,15000,72,108,46,39,24,76,1.14,0.89,0.75,0.93
S3,East,35000,40000,10000,15000,79,111,61,56,43,76,2.57,1.8,1.12,1.83
S3,South,35000,40000,10000,15000,80,118,63,60,41,80,2.18,1.76,0.93,1.62
E3,East,15000,10000,35000,40000,-70,-11,-145,-117,-115,-70,0.79,1.26,1.31,1.12
E3,South,15000,10000,35000,40000,-70,-8,-143,-119,-121,-74,0.96,1.43,1.22,1.2
S1,East,15000,10000,35000,40000,-71,-6,-162,-125,-122,-66,0.62,1.02,1.07,0.9
S1,South,15000,10000,35000,40000,-68,-5,-159,-125,-119,-68,0.69,1.11,1.24,1.01
