win,147,258,369,14,25,36,47,58,69,19,28,37,46,5,Zt0,Zt1,Zt2,ZZ,Z1,Z5,11,15,55,complex
0,,,,1.0,0.75,0.8571428571428571,0.875,0.6666666666666666,0.5,0.8666666666666667,0.7857142857142857,0.6842105263157895,0.625,0.7272727272727273,0.6666666666666666,,1.0,,0.5,0.8571428571428571,,0.6,0.7333333333333333,0.0
1,1.0,1.0,1.0,0.9047619047619048,0.825,0.7974683544303798,0.8390804597701149,0.7777777777777778,0.6153846153846154,0.8082191780821918,0.7424242424242424,0.6985507246376812,0.6051660516605166,0.6744186046511628,0.8363636363636363,0.5714285714285714,1.0,1.0,0.6666666666666666,0.6326530612244898,1.0,0.5806451612903226,0.8,0.8571428571428571
2,0.9444444444444444,0.9230769230769231,0.95,0.8543046357615894,0.8258426966292135,0.7961783439490446,0.7886904761904762,0.8072916666666666,0.8188405797101449,0.7043478260869566,0.7012089810017271,0.646998982706002,0.6212303980699638,0.6351931330472103,0.8,0.7272727272727273,0.5,0.7692307692307693,0.6896551724137931,0.6742857142857143,0.6,0.6190476190476191,0.6795180722891566,0.8387096774193549
3,0.90625,0.8717948717948718,0.85,0.8259803921568627,0.7708333333333334,0.7765726681127982,0.7745302713987474,0.779467680608365,0.7692307692307693,0.6494382022471911,0.6478991596638656,0.6153096050706972,0.5957810718358039,0.5886010362694301,0.7085201793721974,0.6428571428571429,0.6,0.7297297297297297,0.6376811594202898,0.6240409207161125,0.7142857142857143,0.609375,0.6415458937198067,0.8041237113402062
4,0.8484848484848485,0.8588235294117647,0.8983050847457628,0.8063806380638063,0.7602996254681648,0.7497477295660948,0.7527472527472527,0.77882797731569,0.7733934611048479,0.6304635761589404,0.6263467189030363,0.5743707093821511,0.5716486902927581,0.5258774538964902,0.5975975975975976,0.6470588235294118,0.6111111111111112,0.686046511627907,0.6230769230769231,0.5778401122019635,0.6190476190476191,0.5415384615384615,0.5944503735325507,0.7788461538461539
5,0.803921568627451,0.8242811501597445,0.824,0.7516297262059974,0.7272248551869405,0.7204934118306701,0.7256417333701353,0.7457446808510638,0.7530712530712531,0.586582048957389,0.5664739884393064,0.5402408717262474,0.5162567736556899,0.4972353870458136,0.5582959641255605,0.6197604790419161,0.6233766233766234,0.60431654676259,0.632,0.5527831094049904,0.7435897435897436,0.5110220440881763,0.5651302605210421,0.7176820208023774
6,0.7670886075949367,0.7890295358649789,0.7747524752475248,0.7232365145228216,0.7028631284916201,0.6939265275983016,0.6914458474124133,0.6937296121783255,0.7316680096696213,0.543344709897611,0.5180425111220959,0.5140465380249716,0.47899422145869125,0.4597839135654262,0.5352112676056338,0.6025641025641025,0.5185185185185185,0.638095238095238,0.5941558441558441,0.5112612612612613,0.6829268292682927,0.47337278106508873,0.521399798590131,0.6833013435700576
7,0.7090592334494773,0.750373692077728,0.7328519855595668,0.7016645326504481,0.6572029442691903,0.6578059641074079,0.6557961447055717,0.6619302949061662,0.7075355157504633,0.514219384793964,0.48236559139784946,0.47097079342556464,0.44111405835543765,0.42515127598000524,0.4861788617886179,0.5800807537012113,0.411214953271028,0.571969696969697,0.529113924050633,0.4815950920245399,0.5961538461538461,0.4326797385620915,0.48412210612579387,0.6502976190476191
8,0.6948424068767909,0.7214885954381752,0.7271293375394322,0.6699157007376185,0.6305815726421259,0.6230024758046365,0.6180248007085917,0.6371129427489418,0.6680118375033629,0.4807588075880759,0.45081967213114754,0.4337150407399251,0.4076041038020519,0.38768844221105525,0.4044776119402985,0.5385487528344671,0.39436619718309857,0.5173611111111112,0.4777777777777778,0.46424702058504874,0.5396825396825397,0.42569832402234636,0.44359214218896165,0.618798955613577
9,0.6889763779527559,0.6713973799126638,0.6952908587257618,0.6356821589205397,0.5893186003683242,0.5885182474119001,0.5842290202563043,0.6081220366934653,0.6255235279625524,0.45219228737453776,0.41307981613038025,0.39572018248968066,0.377751618599176,0.33267716535433073,0.3569482288828338,0.5379746835443038,0.379746835443038,0.47266881028938906,0.4418604651162791,0.42088772845953004,0.463768115942029,0.3956170703575548,0.4138686131386861,0.582716049382716
