1st,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
19,0.16577313528497897,0.14640854152801783,0.1303535996857941,0.12276872988281815,0.11951375167321468,0.11663437800976409,0.11441361293931424,0.11114049242621415,0.10845802630984133,0.10540259034507744,0.1027028530888756,0.09826664787694175,0.09259007014915208,0.08946058969879837,0.08772854420886204,0.08520939239893488,0.07643979057591622,0.06577452341876026,0.045805897509304326
28,0.02624238201103848,0.05392064598915069,0.07543514907137941,0.0890924229808493,0.09531405054579212,0.09525630600030743,0.09265741652350336,0.08882286945395942,0.08464553353025507,0.08018599651256539,0.07590932892630024,0.07264622909336398,0.070175906005848,0.06499079715351529,0.062317569413490155,0.06050312911725955,0.05944707062025498,0.04738336713995943,0.03277363742480022
37,0.007028627226871855,0.01852227826121752,0.03241892120973633,0.04649224126042762,0.0579892843319005,0.06556464179273543,0.06963698617774991,0.07013019949501542,0.06940473457575948,0.06698410258240385,0.06403922667850163,0.061482460085450864,0.058424247395619716,0.05719202348415831,0.054561878952122854,0.052682202254851825,0.05262363788767812,0.04346101805626837,0.026334888543286677
46,0.008132847245189898,0.016224561191532563,0.026890777427088078,0.03794509071163574,0.04757755586233274,0.05438507032303377,0.05842147702201374,0.059615299187064104,0.058636257024987225,0.056933885377648125,0.05402768744773762,0.05164805629535515,0.048766688103345876,0.04721576441935127,0.04697813420481176,0.04488177117325167,0.04505833811514605,0.03715251690458302,0.023744940116012185
5,0.00668428504369109,0.013812587467593973,0.023270156153215708,0.03346980018019063,0.041794186807136216,0.04806934453171059,0.051783918098745226,0.0521206008811508,0.05223306439702281,0.050144692459403166,0.04868781787973226,0.04554405926666875,0.04303107165504122,0.04127157683414293,0.040818904002323846,0.040732016032627806,0.03909792284866469,0.03454987834549878,0.02267038546806837
Honor,0.18478640928219794,0.18351404488313164,0.18048205761022235,0.16802528348953755,0.14917769242136183,0.1297276554747863,0.11351629631016343,0.10064131486499527,0.09083979304376645,0.08222731787729569,0.07415208962969747,0.06794425087108014,0.06230039563372897,0.05770865965540389,0.05207358902400998,0.0501603104961188,0.04738942467575657,0.04419971724086614,0.03154476573372506
2nd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
19,6.863955286003092,0.17072722697922407,0.1288970526672616,0.11793449409819828,0.11528119472619112,0.11416962784168562,0.11492283290749428,0.11526013229903108,0.11659630710960309,0.11652882415313355,0.1191967376598299,0.12091093041555814,0.12274199045671438,0.12572489737407963,0.12671255876427132,0.13062279310168365,0.12603597754268037,0.11538461538461539,0.07845991002910822
28,0.7130681818181818,0.10603837471783295,0.10076634922309864,0.1009178825314712,0.09994891353791245,0.09777485744016395,0.09542680434186669,0.09505855603923118,0.09429284947929244,0.09529591799602008,0.09557994000010119,0.09565190133535809,0.09802197367901039,0.09818826449211132,0.10041181921136622,0.10277066149358054,0.10162107820550413,0.08780792202775384,0.057469744064546
37,0.23278688524590163,0.05878373566901659,0.06274891314261392,0.06954410344762302,0.07445987096475679,0.07783000198960698,0.0792478592323701,0.08109942796621464,0.08172109873985027,0.08283570629401311,0.08364162430210434,0.08461239899791821,0.08537282708142727,0.0878470790715328,0.09114607152657093,0.09301198055552011,0.09358597522569809,0.08448700014471082,0.053676780446691955
46,0.2626865671641791,0.0545512210593086,0.05707878252056626,0.06192842459655881,0.06754155256093923,0.07036222659414419,0.07192347168490751,0.07289235023791125,0.07427732985787239,0.07374804571805903,0.073511593162916,0.07410074370773749,0.07522828389042373,0.07611694434027964,0.07742586056744741,0.08047864268477747,0.07945788380352475,0.07404645697758495,0.04302584454554254
5,0.1607717041800643,0.043061099171016276,0.047737870195337116,0.053668419155573785,0.058338826631509556,0.062066324231774356,0.06411731015908628,0.06640420768519222,0.06686288072568253,0.06542373235318687,0.06743838077768248,0.06750852221286244,0.06768385277315786,0.06905381406682361,0.07248506948966492,0.07408977556109726,0.07544162571390622,0.06644385026737967,0.04470059038515603
Honor,11.497806742699586,0.31284508406134065,0.2186890947928753,0.1699105278617985,0.139550246368351,0.12170282350764063,0.11226938723527748,0.10896885620817419,0.10727725351704973,0.1084490670216406,0.10988093241656884,0.11001029016270387,0.11021068478171318,0.11369319017502574,0.11554838266602568,0.12067638304423689,0.12778881847838314,0.11974200785193494,0.08537472714043172
3rd,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
19,9.765714285714285,0.18961819715933062,0.11811933547211965,0.10321002926903922,0.09867616776598662,0.09888558620489335,0.09956148754026561,0.10032933789850883,0.10320635931557055,0.10637519478925712,0.11044561985756758,0.11385701012973433,0.11918564562509258,0.12664112424563373,0.1339863334950671,0.14286540742240605,0.1502245848271315,0.138359094880834,0.09383396023643202
