Riichi wait,1,2,3,4,5,6,7,8,9,honor fresh,honor 1 out,honor 2 out,z
dora complex,75,89,99,116,125,116,85,52,54,45,9,1,55
dora sanmenchan,200,198,157,159,151,142,161,157,147,0,0,0,0
dora ryanmen,868,932,1019,1624,1696,1648,836,778,757,0,0,0,0
dora single,248,543,842,485,471,441,993,638,243,745,206,68,1019
dora shanpon,427,323,268,293,305,280,292,333,404,814,126,6,946
dorasoba complex,26,50,55,71,89,83,81,68,38,0,0,0,0
dorasoba sanmenchan,0,186,333,301,285,290,281,150,1,0,0,0,0
dorasoba ryanmen,5,905,1638,1589,1782,1690,1589,716,3,0,0,0,0
dorasoba single,1331,1097,859,1094,1308,1151,967,1149,1144,0,0,0,0
none,22671,20179,19302,18485,17747,18221,19503,20421,22709,21769,15858,12391,50018
Open wait,1,2,3,4,5,6,7,8,9,honor fresh,honor 1 out,honor 2 out,z
dora complex,37,85,87,120,100,138,87,76,38,49,8,1,58
dora sanmenchan,78,115,86,66,93,69,81,106,48,0,0,0,0
dora ryanmen,708,1160,1203,1767,1908,1605,988,940,628,0,0,0,0
dora single,306,663,1080,675,636,697,1199,672,323,1184,280,79,1543
dora shanpon,622,1011,876,866,898,863,937,1023,597,2670,249,26,2945
dorasoba complex,27,50,62,90,97,74,85,51,19,0,0,0,0
dorasoba sanmenchan,1,105,205,195,155,172,154,68,0,0,0,0,0
dorasoba ryanmen,1,901,1874,2218,2403,2210,1770,635,2,0,0,0,0
dorasoba single,1659,1880,1666,2425,2832,2448,1692,1967,1554,0,0,0,0
none,27904,27040,25714,25198,24131,24530,25949,27358,28208,23126,20807,15025,58958
Total riichi,273951,,,,,,,,,,,,
Total open,357644,,,,,,,,,,,,
