Rnd 1,1,2,3,4,Ahead <4000,Ahead 4000,Ahead 8000,Ahead 12000,Ahead 16000,Behind <4000,Behind 4000,Behind 8000,Behind 12000,Behind 16000
1100,742,514,1181,1028,273,210,150,53,56,752,177,52,28,19
2000,1671,1060,2297,1921,665,430,268,138,170,1365,315,148,62,31
2700,489,338,874,710,199,133,94,31,32,491,121,70,12,16
4000,1946,1023,2260,1941,718,486,350,166,226,1357,326,180,56,22
5200,604,422,1070,991,252,147,114,49,42,685,189,68,33,16
8000,2797,1743,4001,3653,1084,674,522,227,290,2478,670,300,134,71
12000,1802,811,1921,1459,612,442,325,169,254,973,288,120,55,23
18000,420,174,409,262,152,91,78,40,59,176,57,21,6,2
192000,65,26,47,39,18,16,17,5,9,27,6,4,2,0
called,17111,10082,22425,19589,6377,4314,3087,1463,1870,13614,3389,1606,612,368
riichi,8837,5275,13237,12043,3512,2275,1540,694,816,7995,2320,1071,422,235
win,10536,6111,14060,12004,3973,2629,1918,878,1138,8304,2149,963,388,200
dealin,5700,3530,8310,7406,2190,1478,1012,459,561,5054,1327,630,234,161
tenpai,3068,1782,4318,4078,1171,780,539,262,316,2687,783,359,170,79
noten,4699,2716,6022,5001,1628,1167,898,433,573,3669,774,342,147,69
hands,50114,28984,67231,58403,18494,12706,9080,4295,5539,40669,10266,4636,1804,1028
Rnd 2,1,2,3,4,Ahead <4000,Ahead 4000,Ahead 8000,Ahead 12000,Ahead 16000,Behind <4000,Behind 4000,Behind 8000,Behind 12000,Behind 16000
1100,948,854,921,845,279,248,164,97,160,503,182,87,35,38
2000,1807,1719,1847,1693,575,451,274,188,319,993,369,175,79,77
2700,570,575,683,724,209,137,94,46,84,408,156,87,36,37
4000,1848,1642,1750,1718,589,472,296,190,301,923,426,204,90,75
5200,602,719,800,975,210,160,111,53,68,507,243,121,66,38
8000,2658,2713,3085,3361,909,678,448,240,383,1743,810,462,202,144
12000,1561,1381,1367,1385,457,412,256,153,283,744,339,149,88,65
18000,348,295,277,255,85,82,63,44,74,135,65,35,15,5
192000,52,40,40,33,18,15,7,5,7,18,4,5,2,4
called,17182,16351,17360,17835,5547,4372,2894,1699,2670,9812,4103,2144,977,799
riichi,7710,8576,9779,11351,2651,2043,1251,716,1049,5714,2861,1501,777,498
win,10394,9938,10770,10989,3331,2655,1713,1016,1679,5974,2594,1325,613,483
dealin,5460,5692,6268,7165,1771,1433,895,513,848,3728,1688,944,462,343
tenpai,2689,2913,3359,3955,907,690,403,286,403,1972,976,569,264,174
noten,4886,4344,4416,4090,1398,1216,861,561,850,2414,880,488,195,113
hands,49757,47686,50976,53021,15739,12576,8279,5058,8105,28876,12250,6587,3099,2209
