Waiting,Closed,Closed1o,Atozuke,Atozuke1o,TerminalAtozuke,TerminalAtozuke1o,Closed Guestwind,Closed1o Guestwind,Atozuke Guestwind,Atozuke1o Guestwind,TerminalAtozuke Guestwind,TerminalAtozuke1o Guestwind,Closed Doublewind,Closed1o Doublewind,Atozuke Doublewind,Atozuke1o Doublewind,TerminalAtozuke Doublewind,TerminalAtozuke1o Doublewind,Closed Dora,Closed1o Dora,Atozuke Dora,Atozuke1o Dora,TerminalAtozuke Dora,TerminalAtozuke1o Dora
0,803964,7227,15349,16,6287,9,127237,7465,2114,9,1150,6,73956,319,1204,5,662,0,32254,64,571,0,268,0
1,1039731,38701,45062,530,19775,147,147907,25904,6043,274,3166,101,68404,2132,2887,53,1622,19,44210,325,1829,6,937,3
2,933095,82480,72384,2528,32925,797,125709,37539,9791,1065,4853,424,61027,4535,4850,238,2493,78,45215,740,3397,37,1730,17
3,792079,120679,94398,6123,43796,2178,110368,43790,13410,2476,6514,943,52602,6533,6635,521,3209,184,44613,1266,5196,103,2611,49
4,651816,146305,109701,11191,51554,4288,95972,46495,16588,4126,7874,1597,44831,8008,8000,937,3785,357,42577,1873,7061,242,3390,82
5,528355,157334,117175,16559,56056,6669,81714,46484,18457,5754,8799,2374,37565,8787,8840,1353,4223,532,39361,2527,8465,368,4087,149
6,424817,156574,117959,21173,57393,8883,67313,43910,19080,7076,9256,2931,31083,8860,9254,1639,4390,736,35740,3038,9624,551,4530,237
7,339201,146854,112592,24242,55713,10570,54059,39900,18410,7834,8957,3360,25266,8577,9071,1938,4411,885,31829,3440,10304,723,4850,295
8,268119,130865,102945,25471,51940,11471,42237,34312,16653,8019,8273,3592,20233,7725,8539,2098,4181,907,28080,3431,10389,831,4935,347
9,209771,111302,90608,24883,46540,11526,32129,28489,14337,7616,7286,3507,15901,6720,7684,1984,3819,927,24381,3363,10052,934,4788,375
10,163722,91091,77202,22537,40593,10775,23860,22878,11993,6694,6247,3208,12524,5563,6716,1840,3391,844,20888,3127,9428,933,4513,396
11,127373,72231,64273,19522,34378,9469,17535,17750,9514,5600,5098,2744,9727,4490,5682,1599,2890,725,17751,2798,8728,827,4153,365
12,99160,55369,53068,16232,28612,7925,12864,13401,7381,4547,4016,2205,7586,3514,4678,1320,2390,622,14866,2402,7827,749,3709,348
13,77411,42053,43470,13037,23752,6392,9485,9853,5625,3531,3091,1750,5895,2687,3849,1075,2029,504,12562,2008,6965,663,3265,305
14,61095,31411,35530,10110,19389,5023,6971,7199,4320,2648,2412,1329,4563,2060,3176,846,1686,377,10602,1694,6162,580,2888,274
15,48740,23363,29080,7750,15986,3946,5262,5151,3369,1932,1905,975,3554,1545,2575,662,1391,304,8995,1400,5482,511,2574,240
16,39041,17304,23926,5878,13203,2974,3955,3673,2648,1404,1532,744,2844,1180,2131,490,1150,235,7597,1140,4857,444,2285,211
Came out,Closed,Closed1o,Atozuke,Atozuke1o,TerminalAtozuke,TerminalAtozuke1o,Closed Guestwind,Closed1o Guestwind,Atozuke Guestwind,Atozuke1o Guestwind,TerminalAtozuke Guestwind,TerminalAtozuke1o Guestwind,Closed Doublewind,Closed1o Doublewind,Atozuke Doublewind,Atozuke1o Doublewind,TerminalAtozuke Doublewind,TerminalAtozuke1o Doublewind,Closed Dora,Closed1o Dora,Atozuke Dora,Atozuke1o Dora,TerminalAtozuke Dora,TerminalAtozuke1o Dora
0,544808,4721,9564,11,3784,5,91671,4823,1358,6,724,4,49221,190,660,5,350,0,12577,26,169,0,77,0
1,694622,24415,27117,295,11489,68,96464,15467,3535,130,1762,67,43654,1207,1483,22,827,13,17181,125,549,2,271,1
2,591492,49786,40352,1300,17820,418,74281,21317,5183,485,2397,215,36080,2413,2281,112,1144,41,17000,305,962,9,478,7
3,464906,69611,48010,2971,21331,1053,60713,23981,6527,1104,2951,444,28314,3347,2862,230,1306,81,15706,503,1429,34,678,11
4,347409,80386,50235,5259,22186,1975,49555,24642,7623,1801,3292,704,21813,3888,3127,387,1344,147,13722,680,1760,74,781,20
5,252572,82033,47958,7555,21180,2907,39661,23917,7872,2524,3459,986,16264,4048,3032,537,1303,192,11322,868,1836,110,804,36
6,180683,77377,43044,9292,18992,3682,30575,21560,7722,3088,3386,1176,11993,3900,2861,606,1194,260,9064,981,1776,139,706,50
7,127771,68969,36631,10334,16177,4124,22861,18751,6930,3260,2987,1315,8762,3661,2534,738,1097,296,6966,1027,1652,174,646,66
8,88958,58363,29862,10484,13364,4349,16668,15435,5893,3302,2537,1339,6177,3129,2116,778,910,294,5272,942,1464,187,568,67
9,61066,47119,23483,9790,10590,4262,11605,12225,4692,3066,2044,1237,4253,2587,1722,728,733,291,3874,889,1252,210,480,68
10,41625,36428,17679,8547,8181,3827,7828,9210,3651,2623,1609,1099,2978,2051,1351,648,551,247,2872,762,1003,200,393,74
