d v nd,goodwait,width,ronscore,tsumoscore,roncount,tsumocount,count
0,0,0,,,0,0,0
1,1,34,,4500.0,0,2,8
2,23,251,7754.545454545455,12150.0,11,8,41
3,90,976,7474.468085106383,10522.222222222223,47,27,160
4,389,4193,8481.372549019608,10084.444444444445,204,135,683
5,1053,10838,8632.4942791762,10855.873925501433,437,349,1720
6,2084,21478,9002.505694760821,11254.153846153846,878,650,3388
7,3516,35128,8776.862464183381,11597.993981945838,1396,997,5407
8,4632,46655,9065.53509781358,11672.874806800619,1738,1294,7192
9,5604,54998,9325.197238658777,12128.80658436214,2028,1458,8356
10,5827,57214,9488.62959285005,12279.421654337593,2014,1487,8727
11,5343,52189,9684.64501926252,12245.497630331754,1817,1266,7940
12,4500,44287,10045.132127955494,12618.483412322275,1438,1055,6761
13,3485,34180,10093.398058252427,12962.535211267606,1030,710,5211
14,2400,23303,10648.318042813456,13419.402985074626,654,402,3565
15,1373,13631,11078.688524590163,13350.704225352112,305,213,2107
16,716,7124,11257.971014492754,15835.135135135135,138,74,1086
17,86,834,11792.307692307691,15950.0,13,6,130
18,5,51,15000.0,,2,0,8
nd v d,goodwait,width,ronscore,tsumoscore,roncount,tsumocount,count
0,0,4,,,0,0,1
1,10,121,6057.142857142857,8675.0,7,4,20
2,52,532,6021.739130434783,8936.842105263158,23,19,83
3,187,1944,6262.790697674419,7817.142857142857,86,70,308
4,651,6468,5772.516556291391,7839.68253968254,302,189,987
5,1577,15118,6421.428571428572,7932.719836400818,602,489,2258
6,2814,27142,6388.2459312839055,8239.655172413793,1106,870,4088
7,4088,38691,6423.891001267427,8355.421686746988,1578,1079,5723
8,5199,49124,6625.177111716621,8339.800285306705,1835,1402,7222
9,5914,55091,6805.827619980411,8526.59649122807,2042,1425,8063
10,5677,53265,6982.635342185904,8897.889977392615,1958,1327,7876
11,5032,47539,7108.602150537635,9038.031914893618,1674,1128,7029
12,4078,38398,7212.745869394178,9239.606126914661,1271,914,5690
13,3108,29519,7207.7360637087595,9215.213675213676,879,585,4430
14,1978,19127,7613.489208633094,9312.797619047618,556,336,2915
15,1173,11508,7955.0,10067.073170731708,260,164,1769
16,396,3919,8064.1509433962265,10752.5,53,40,605
17,30,317,8666.666666666666,16000.0,6,1,51
18,1,12,,,0,0,2
nd v nd,goodwait,width,ronscore,tsumoscore,roncount,tsumocount,count
0,1,11,,7900.0,0,1,2
1,9,130,4671.428571428572,7950.0,7,2,24
2,57,666,5314.285714285715,7238.709677419355,21,31,112
3,329,3463,6079.194630872483,7854.054054054054,149,111,558
4,1041,10713,5824.561403508772,7711.006289308176,456,318,1685
5,2474,24441,6079.613526570049,7549.556213017751,1035,676,3753
6,4621,45859,6188.782950084128,7857.59587020649,1783,1356,7048
7,6884,66897,6218.985395849347,8008.590679393599,2602,1781,10119
8,8593,82948,6621.011058451817,8258.051420838972,3165,2217,12513
9,9552,91254,6617.100591715976,8484.859312192943,3380,2239,13627
10,8950,86588,6726.86230248307,8644.050509956289,3101,2059,13077
11,8035,77074,6908.301743745262,8694.788273615635,2638,1842,11547
12,6353,61065,7101.75879396985,9019.22480620155,1990,1290,9201
13,4616,44931,7246.55300222387,9221.608643457383,1349,833,6811
14,2891,28255,7469.881109643329,9282.828282828283,757,495,4324
15,1674,16559,7950.295857988166,9855.555555555555,338,234,2545
16,465,4783,8676.25,11286.274509803921,80,51,745
17,22,237,7533.333333333333,11180.0,3,5,39
18,0,4,,,0,0,1
