honitsu,1,2,3,
0,0.004588659,0.056074766,0.307692308,
1,0.003747535,0.062777778,0.450381679,
2,0.006786427,0.076339915,0.412844037,
3,0.014816187,0.091836735,0.423111111,
4,0.027909615,0.124655129,0.467277487,
5,0.046443594,0.170842246,0.51809899,
6,0.071654373,0.221475901,0.572195204,
7,0.102549407,0.27351492,0.617845118,
8,0.13973396,0.329863604,0.667499432,
9,0.180698819,0.382132329,0.700856554,
10,0.229293592,0.438922721,0.738116101,
11,0.277941645,0.487742131,0.767153454,
12,0.327275551,0.531818593,0.792290946,
13,0.369102184,0.574497308,0.809867282,
14,0.410750418,0.609860378,0.828303152,
15,0.450080331,0.640600767,0.845314631,
16,0.476585224,0.666831194,0.861573034,
17,0.514922554,0.681835276,0.870420259,
18,0.516580104,0.68779682,0.87377499,
yakuhai,1,2,3,
0,0.008186996,0.100662252,0.666666667,
1,0.010016158,0.154825927,0.682432432,
2,0.021197931,0.167304454,0.729241877,
3,0.042201436,0.219250817,0.733916302,
4,0.072682493,0.284427834,0.785049146,
5,0.114787825,0.352255698,0.814518355,
6,0.16496918,0.420101133,0.849758972,
7,0.221140211,0.487390346,0.878249248,
8,0.27988598,0.547455648,0.899646151,
9,0.338476634,0.598981546,0.913823758,
10,0.392583818,0.642489674,0.922695567,
11,0.439276776,0.678861943,0.928849467,
12,0.479389185,0.704570739,0.932800821,
13,0.509602489,0.721752573,0.929045607,
14,0.532522972,0.734343484,0.928412087,
15,0.55262541,0.74032624,0.920557914,
16,0.570774468,0.744274954,0.91330322,
17,0.585069038,0.742854389,0.90285205,
18,0.57214009,0.732873377,0.89679255,
other,0,1,2,3
0,7.97E-05,0.005124451,0.039215686,0.5
1,0.000215096,0.006172235,0.104693141,0.454545455
2,0.001082527,0.014436804,0.10376569,0.527777778
3,0.002901637,0.031875316,0.146912496,0.525925926
4,0.006290976,0.057801795,0.216640295,0.604774536
5,0.011850927,0.094125494,0.289113924,0.652542373
6,0.019901076,0.139569994,0.354773777,0.717966102
7,0.030816652,0.191672411,0.420755348,0.759236198
8,0.044594483,0.24782052,0.486186048,0.805271318
9,0.060536936,0.30429385,0.542284391,0.836295369
10,0.078444598,0.356725146,0.592006942,0.859794275
11,0.097669661,0.402319614,0.634528694,0.873938879
12,0.1176248,0.438943198,0.66518593,0.878900284
13,0.137462961,0.471217027,0.692639738,0.881500831
14,0.156782752,0.49802798,0.70633694,0.891757955
15,0.176039978,0.522526533,0.712188685,0.891852711
16,0.194615529,0.541917717,0.721511847,0.888566828
17,0.216373336,0.560318944,0.723455728,0.874731568
18,0.205117679,0.558264878,0.719509242,0.86526517
not honitsu,0,1,2,3
0,,0.007957414,0.096774194,0.653846154
1,,0.009648622,0.151181102,0.666666667
2,,0.020407011,0.161980226,0.716949153
3,,0.040698215,0.212045243,0.717741935
4,,0.069917891,0.276366544,0.769031346
5,,0.10997112,0.34327821,0.797943508
6,,0.15772684,0.408863041,0.834424548
7,,0.211228609,0.473784778,0.861747439
8,,0.267565209,0.5327989,0.88477326
