Yaku,Discards,1/9,2/8,Middle,Honors,Suit 1,Suit 2,Suit 3,Pairs,Dora,Live,Tsumogiri
Riichi,14735,3488,2402,3271,5574,1283,2914,4964,1638,257,8080,5444,
Uradora,14735,3488,2402,3271,5574,1283,2914,4964,1638,257,8080,5444,
Akadora,6888,1686,1148,1444,2610,608,1375,2295,774,123,3743,2553,
Dora,5745,1349,922,1273,2201,491,1130,1923,657,17,3201,2096,
Chiitoitsu,529,110,82,155,182,56,114,177,54,8,282,170,
Ippatsu,3638,853,566,815,1404,312,718,1204,416,62,1940,1374,
Pinfu,5410,1310,825,1164,2111,462,1061,1776,591,105,2949,1962,
Tsumo,6892,1639,1154,1527,2572,620,1379,2321,751,120,3823,2542,
Iipeikou,983,236,161,220,366,89,202,326,108,24,537,364,
Tanyao,2244,649,340,404,851,216,439,738,239,50,1193,767,
Sanankou,118,27,29,25,37,12,25,44,12,0,65,42,
Yakuhai Dragon,482,113,79,131,159,56,102,165,50,5,290,163,
Houtei,112,26,20,19,47,8,20,37,13,3,56,43,
Haitei,184,52,26,50,56,20,43,65,21,3,100,78,
Doujun,455,112,70,116,157,50,98,150,38,5,278,172,
Yakuhai Wind,307,72,67,74,94,34,68,111,33,6,173,110,
Junchan,42,4,4,16,18,3,9,12,5,1,21,18,
Chanta,65,7,8,35,15,8,16,26,9,0,37,23,
Itsu,84,9,16,24,35,5,18,26,7,0,49,29,
Toitoi,20,4,5,3,8,1,3,8,2,0,9,8,
Rinshan,32,9,7,6,10,4,7,11,4,0,18,18,
Honitsu,34,6,8,12,8,5,7,14,3,0,19,15,
Suuankou,8,2,1,4,1,2,2,3,1,0,5,2,
Chankan,10,2,0,3,5,1,1,3,1,0,3,4,
Doukou,8,2,1,4,1,2,2,3,0,0,6,0,
