riichitile corr,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,count,
1,1106,1345,883,591,724,924,1155,1810,2562,5424,3835,2591,2075,1927,2183,2542,3824,5521,41022,
2,2277,640,647,842,926,1061,1516,2447,3584,7310,4861,3226,2540,2279,2603,3260,5000,7358,52377,
3,2886,790,539,469,878,1484,1757,2754,4287,8605,5812,3819,3059,2757,3110,3743,5922,8651,61322,
4,4699,1905,420,483,273,903,1717,2538,3821,7839,5368,3352,2619,2443,2748,3436,5382,7858,57804,
5,4388,3468,1486,545,316,568,1501,3445,4324,9011,6215,4144,3274,2956,3326,4091,6240,9219,68517,
6,3805,2485,1793,902,262,473,429,1924,4599,7763,5300,3412,2693,2357,2604,3363,5234,7793,57191,
7,4215,2698,1750,1474,872,527,506,793,2967,8602,5869,3760,3094,2692,3101,3829,5668,8420,60837,
8,3687,2525,1498,1061,876,835,686,596,2299,7377,5098,3308,2702,2351,2475,3252,4895,7215,52736,
9,2470,1743,1155,910,688,564,858,1333,1052,5326,3785,2535,2144,1837,2025,2442,3734,5243,39844,
riichitile,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,Honor,count
1,10,667,714,493,708,714,534,475,372,771,991,1145,1493,1538,1488,1177,1024,739,752,8853
2,904,3,731,1191,651,924,760,569,501,1023,1361,1565,1998,2049,1963,1593,1287,979,902,11581
3,849,826,3,1206,1234,714,960,755,467,1200,1588,1970,2302,2443,2355,1926,1577,1156,1019,13498
4,149,885,727,7,1153,1014,703,789,553,1123,1430,1951,2223,2220,2354,1829,1488,1131,965,12555
5,724,588,1019,1261,4,1251,1065,570,753,1281,1718,2068,2639,2651,2490,2151,1793,1297,1171,14797
6,550,766,669,984,1178,12,690,903,155,1061,1517,1856,2235,2216,2268,1836,1490,1168,973,12488
7,519,767,912,742,1261,1266,6,769,909,1149,1578,1893,2335,2469,2377,1948,1532,1224,996,13465
8,505,572,700,995,628,1135,758,4,818,999,1285,1594,2042,2066,1977,1643,1400,993,904,11564
9,400,520,484,701,791,487,679,788,7,712,884,1145,1439,1392,1466,1182,952,823,777,8667
riichijoint,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,Honor,count
"(1, 1)",10,650,687,475,683,687,511,455,365,751,961,1091,1438,1487,1438,1128,986,718,725,8484
"(2, 2)",902,3,719,1176,636,907,733,555,494,1000,1331,1521,1948,2008,1919,1547,1256,965,879,11274
"(3, 3)",842,816,3,1189,1220,699,942,738,452,1182,1548,1923,2259,2366,2304,1873,1519,1133,1002,13157
"(4, 4)",137,875,711,6,1139,997,688,778,541,1105,1392,1910,2189,2165,2313,1802,1453,1113,931,12261
"(5, 5)",711,571,999,1245,4,1231,1048,556,745,1260,1676,1997,2596,2588,2423,2106,1751,1269,1148,14436
"(1, 2)",10,3,155,152,175,184,132,127,85,153,277,265,331,410,337,270,212,163,157,1981
"(2, 1)",1,0,83,57,67,129,71,71,54,121,157,172,206,241,233,150,155,131,96,1166
"(2, 4)",10,7,145,1,127,233,95,116,102,163,188,257,316,296,343,245,191,168,152,1723
"(4, 2)",36,0,39,4,65,53,17,68,41,78,96,90,127,153,139,97,102,84,73,752
"(1, 3)",2,222,0,141,349,136,168,175,86,218,312,368,462,485,441,384,310,215,172,2510
"(3, 1)",2,16,0,69,56,42,70,51,42,76,96,102,137,163,131,100,114,70,66,756
"(3, 5)",35,32,2,135,0,95,146,52,90,118,161,194,239,246,232,177,171,125,133,1314
"(5, 3)",88,37,0,90,2,60,35,17,42,69,98,97,133,147,146,92,108,78,77,790
"(2, 3)",31,1,0,81,48,51,64,27,24,56,78,79,113,118,115,91,68,59,53,647
"(3, 2)",49,0,0,77,21,31,48,25,31,63,75,70,110,115,103,78,69,51,49,560
"(3, 4)",4,25,3,0,54,23,17,32,17,36,38,47,53,68,64,40,48,34,42,354
"(4, 3)",13,43,0,0,58,18,8,33,21,35,37,47,60,73,65,42,56,37,61,406
"(4, 5)",12,10,63,0,0,78,21,21,37,47,55,47,69,77,57,53,54,29,64,478
"(5, 4)",4,13,16,1,1,17,5,9,9,25,19,34,32,33,43,18,30,25,23,208
riichiurawait,matagisuji,urasuji,urakanchan,uratanki,urashanpon,uracomplex,not ura,count,,,,,,,,,,,,
1,0,333,246,34,366,58,7816,8853,,,,,,,,,,,,
2,557,453,181,87,511,111,9681,11581,,,,,,,,,,,,
3,1162,475,154,101,524,125,10957,13498,,,,,,,,,,,,
4,1004,421,187,108,518,137,10180,12555,,,,,,,,,,,,
5,1240,947,397,100,434,159,11520,14797,,,,,,,,,,,,
6,1004,417,205,113,487,131,10131,12488,,,,,,,,,,,,
7,1181,440,145,125,535,134,10905,13465,,,,,,,,,,,,
8,490,475,154,83,522,132,9708,11564,,,,,,,,,,,,
9,0,388,235,28,403,92,7521,8667,,,,,,,,,,,,
turnurawait,matagisuji,urasuji,urakanchan,uratanki,urashanpon,uracomplex,not ura,count,,,,,,,,,,,,
0,5,5,1,1,6,2,358,378,,,,,,,,,,,,
1,32,26,11,7,28,6,914,1024,,,,,,,,,,,,
2,99,88,22,10,76,18,2346,2659,,,,,,,,,,,,
3,222,206,64,23,169,29,4659,5372,,,,,,,,,,,,
4,415,313,112,46,331,66,7449,8732,,,,,,,,,,,,
5,605,426,160,67,438,89,9681,11466,,,,,,,,,,,,
6,802,529,203,86,534,129,11563,13846,,,,,,,,,,,,
7,869,560,240,77,539,138,11840,14263,,,,,,,,,,,,
8,930,526,238,97,507,137,10524,12959,,,,,,,,,,,,
9,823,468,238,103,514,114,8927,11187,,,,,,,,,,,,
10,597,421,196,89,380,111,6933,8727,,,,,,,,,,,,
11,448,291,147,57,275,81,5057,6356,,,,,,,,,,,,
12,312,208,112,42,200,68,3381,4323,,,,,,,,,,,,
13,246,135,70,34,141,42,2234,2902,,,,,,,,,,,,
14,136,75,40,20,84,25,1365,1745,,,,,,,,,,,,
15,66,47,38,13,54,15,751,984,,,,,,,,,,,,
16,26,21,11,3,20,7,355,443,,,,,,,,,,,,
17,4,4,1,4,4,1,74,92,,,,,,,,,,,,
riichitile combos,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,Honor,count
"(1, 7)",5,144,199,89,298,300,0,188,200,242,354,406,483,556,548,431,331,286,193,2809
"(7, 1)",0,71,75,16,59,52,0,13,14,80,95,118,142,144,156,115,85,87,60,767
"(2, 8)",37,2,80,102,48,190,116,0,135,166,208,248,342,328,312,262,224,152,114,1659
"(1, 9)",1,83,74,77,158,90,136,159,3,129,191,203,274,301,278,238,189,163,134,1596
"(1, 6)",7,145,130,148,263,3,134,199,33,214,323,374,478,463,493,395,308,257,210,2502
"(6, 1)",1,67,45,20,46,1,22,23,9,59,69,92,124,103,105,95,72,48,62,594
"(2, 7)",28,2,110,62,123,206,1,107,147,178,240,264,369,378,357,282,225,189,123,1824
"(7, 2)",93,0,80,88,39,60,0,29,22,96,131,137,197,201,186,161,121,86,91,1006
"(1, 4)",0,195,179,1,276,265,173,175,129,272,352,491,566,594,604,461,396,306,227,3084
"(4, 1)",0,11,29,1,27,24,7,27,15,43,44,45,71,72,64,50,64,44,39,383
"(2, 5)",54,1,136,154,0,248,193,81,152,195,278,381,437,448,453,366,310,225,173,2316
"(5, 2)",91,0,33,70,0,54,27,14,41,62,69,79,107,111,109,86,78,54,60,632
"(3, 6)",28,20,0,77,97,1,82,107,12,106,155,213,235,240,268,207,172,126,104,1224
"(6, 3)",83,71,0,90,64,0,29,19,10,117,125,181,200,176,211,148,125,100,79,998
first row,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,Honor,count
1,2,184,176,130,176,209,153,131,111,250,309,328,447,437,437,348,302,234,285,2651
2,256,0,183,303,167,263,224,188,163,324,443,481,625,622,613,490,409,334,347,3590
3,234,195,0,310,308,186,272,234,135,389,507,624,702,706,734,584,481,378,377,4103
4,59,219,179,1,275,277,203,210,174,367,422,568,662,633,669,581,481,346,379,3748
5,217,193,247,334,0,290,276,197,208,415,531,594,816,778,715,625,561,412,435,4458
