win,147,258,369,14,25,36,47,58,69,19,28,37,46,5,19S,28S,37S,46S,5S,Zt0,Zt1,Zt2,ZZ,Z1,Z5,11,15,55,Z1S,Z5S,11S,15S,55S,complex
0,0.9133858267716536,0.8762886597938144,0.8585858585858586,0.7990726429675425,0.7701149425287356,0.7512953367875648,0.7292035398230089,0.7668918918918919,0.8305597579425114,0.7172284644194756,0.6441136671177267,0.5814832309872461,0.550185873605948,0.5303030303030303,0.7,0.9210526315789473,0.6951219512195121,,,0.8594449418084154,0.8492063492063492,0.6666666666666666,0.9469026548672567,0.8877005347593583,0.8274509803921568,0.84,0.736231884057971,0.6782608695652174,0.9,0.7777777777777778,1.0,0.8888888888888888,1.0,0.8559322033898306
1,0.8867469879518072,0.8635235732009926,0.874384236453202,0.8100227790432801,0.7641462193289935,0.7389705882352942,0.7383987761346252,0.766750629722922,0.8146591970121382,0.6945701357466063,0.6255374032674119,0.5761747979646812,0.5141552511415525,0.49324324324324326,0.8051948051948052,0.7333333333333333,0.6349206349206349,0.5,0.0,0.7985454545454546,0.7905544147843943,0.75,0.872791519434629,0.822380106571936,0.8006535947712419,0.7430555555555556,0.7368421052631579,0.6167400881057269,0.8823529411764706,0.75,0.8888888888888888,0.75,0.6590909090909091,0.7951977401129944
2,0.8688670829616414,0.8330324909747292,0.8581560283687943,0.7875594833446635,0.7264770240700219,0.6983805668016194,0.7032090521239103,0.7387799963363253,0.7793532768459277,0.6646884272997032,0.6084226080531954,0.556,0.5218390804597701,0.4792219274977896,0.7875647668393783,0.6953528399311532,0.6336056009334889,0.6666666666666666,0.5384615384615384,0.764927127409497,0.7482394366197183,0.6666666666666666,0.8120915032679739,0.7937293729372937,0.7590138674884438,0.7903225806451613,0.7003257328990228,0.6009577015163607,0.8160919540229885,0.7947019867549668,0.7301587301587301,0.7931034482758621,0.6502732240437158,0.7958115183246073
3,0.8223194748358862,0.8117803365810452,0.8200325732899023,0.7509954871250332,0.7084693507435619,0.686671380590419,0.671243798724309,0.7029248033931254,0.7489264744544738,0.6321100917431193,0.5706849035419006,0.5342983828899321,0.48346285920838605,0.4527986633249791,0.7667638483965015,0.6835541699142634,0.6296655356277266,0.6559139784946236,0.5142857142857142,0.7126258714175058,0.7227822580645161,0.4457831325301205,0.7783018867924528,0.7492462311557789,0.7146512024560805,0.6981450252951096,0.6470375722543352,0.5762150220913107,0.8202764976958525,0.8276923076923077,0.7768595041322314,0.7915831663326653,0.6528066528066528,0.78269517652909
4,0.7890890107021665,0.7923527770025118,0.7902132998745295,0.7150499090056802,0.6727730462263646,0.6477783585990591,0.6537525140256166,0.6707682430986518,0.7089798345677677,0.599601593625498,0.5385630906058921,0.4996568879739235,0.461650758001123,0.4329789992221934,0.7135325131810193,0.6495901639344263,0.5983841542872036,0.6169491525423729,0.5967741935483871,0.6803589920607525,0.6940639269406392,0.5354330708661418,0.7390636991557943,0.7083035075161059,0.6730864197530865,0.6653386454183267,0.6294736842105263,0.5429599640125956,0.7468354430379747,0.7427652733118971,0.746268656716418,0.7208067940552016,0.6297435897435898,0.751496062992126
5,0.7579545454545454,0.763961860284102,0.7645265764907602,0.6746328822343794,0.6352500585160334,0.6148329803440716,0.6173593204914303,0.6396765787860208,0.6780064568200161,0.5475444096133751,0.509639564124057,0.4665609928838825,0.4317162657969833,0.3948529411764706,0.6927374301675978,0.6182469680264608,0.5673504273504274,0.6077669902912621,0.6150943396226415,0.6266952177016417,0.6449419098894871,0.4715447154471545,0.6982591876208898,0.6592772547828728,0.6381090008257638,0.6637649619151251,0.5959341723136495,0.513042060645582,0.730593607305936,0.7051705170517052,0.6753246753246753,0.6418234442836469,0.576702737110121,0.7209145931405514
6,0.7272581421466389,0.7242652962903485,0.7174119885823026,0.636076398750355,0.6045637235835603,0.5829434608445708,0.58726422399108,0.6061634976070366,0.6426196226679268,0.5424440298507462,0.4774548069022186,0.439097521151848,0.4010631601035182,0.38994000922934935,0.6678765880217786,0.5749445676274945,0.5369976044716529,0.5675990675990676,0.5077262693156733,0.5855238095238096,0.62178366225331,0.49855907780979825,0.6603153745072273,0.6346270466949666,0.5988572554428135,0.5688367129135539,0.5503204573012299,0.47251291561796266,0.7080979284369114,0.6031021897810219,0.6596306068601583,0.625,0.5742617893345086,0.6853783424995259
7,0.6968769136558481,0.6915529664264909,0.6952749806351666,0.6086897117092499,0.5696402565612122,0.5510382132263131,0.5507433928622782,0.5663014035951736,0.6052005438477226,0.500726392251816,0.43704109589041096,0.41191756813923974,0.37820975898075787,0.35177453027139877,0.6192139737991267,0.535871743486974,0.5094009108957142,0.5433829973707275,0.48623853211009177,0.5226151315789473,0.579106737320212,0.4970873786407767,0.6012747875354107,0.5915446071904128,0.5600085043053046,0.60431654676259,0.5158428390367554,0.46088456326228905,0.603448275862069,0.6004765687053217,0.635036496350365,0.569620253164557,0.5335834896810506,0.6526887464387464
8,0.661608497723824,0.6509067357512953,0.6588667892361691,0.5672709381977822,0.5399908292938557,0.5203130153209606,0.5199576655579075,0.5318492037699057,0.5697801165194513,0.4686040477426051,0.41083123425692697,0.3818200535309862,0.3561614730878187,0.32884012539184954,0.5670886075949367,0.5160959606315357,0.46730228578413396,0.5018782870022539,0.46142649199417757,0.48209099709583736,0.5513172338090011,0.4373956594323873,0.5937794533459001,0.5484519501407318,0.5215666831928607,0.5297372060857538,0.48406040268456374,0.40616138179943284,0.6305147058823529,0.580327868852459,0.5977961432506887,0.5369484316852738,0.49555099247091033,0.6179753656658968
9,0.6147623862487361,0.6096711798839458,0.6251980982567353,0.5369223227416552,0.5054479418886199,0.4872307427192831,0.4874693214421515,0.5006764374295377,0.5374170858745493,0.4356819650937298,0.3755297880847661,0.35084175084175084,0.32068452380952384,0.2907788719785139,0.5673624288425048,0.4734904270986745,0.43918649474943505,0.4569343065693431,0.435933147632312,0.4321705426356589,0.5495769881556684,0.4051355206847361,0.5248618784530387,0.5150825270347182,0.4817762215502149,0.46345811051693403,0.4265898979324784,0.3856071964017991,0.5575221238938053,0.5311601150527325,0.5186246418338109,0.49886363636363634,0.45229424617625635,0.576808608058608
10,0.5934343434343434,0.5807701622668927,0.591804979253112,0.49856716767062403,0.46716806479606593,0.45079888409840224,0.45321163524695046,0.4661928543987707,0.5001154601085325,0.4025661587810746,0.35356832027850305,0.3196045197740113,0.30073858316862584,0.2680527610105075,0.514018691588785,0.45978062157221206,0.4063558638490079,0.4505660377358491,0.40242261103633914,0.41496598639455784,0.5186393289841565,0.39111111111111113,0.49053627760252366,0.48892171344165436,0.46243022756547875,0.5133689839572193,0.4079270431427569,0.3500551267916207,0.5393258426966292,0.49079089924160346,0.4708333333333333,0.504017531044558,0.42845495311863024,0.545944371632445
11,0.5334765485141425,0.5292535305985205,0.5482866043613707,0.46708724163692206,0.4372528341682046,0.41289992030058065,0.41707661860333617,0.4345988818099077,0.4675948151704273,0.41899441340782123,0.3036133270764899,0.2913752913752914,0.2711079943899018,0.2497759187331939,0.4807692307692308,0.3984189723320158,0.3774376179492556,0.3951828724353256,0.37697160883280756,0.31841302136317395,0.4889466840052016,0.44049459041731065,0.48366013071895425,0.46319365798414497,0.4160174509192895,0.4453125,0.38673139158576053,0.32013854527461655,0.4634146341463415,0.42838196286472147,0.44339622641509435,0.45590994371482174,0.39174757281553396,0.5055072463768115
12,0.48907831646244004,0.49198396793587174,0.5018607123870282,0.4285014091410366,0.4000190985485103,0.3809680335278166,0.38086942093910736,0.3914511771516789,0.4341516507437417,0.3516666666666667,0.28405865657521284,0.2572236567072421,0.23837093232182072,0.21326238231682357,0.4488888888888889,0.3691358024691358,0.34444444444444444,0.4024122807017544,0.3353413654618474,0.3293010752688172,0.4823766364551863,0.4103019538188277,0.3931034482758621,0.41353383458646614,0.36429258902791145,0.3933333333333333,0.38497652582159625,0.2884750527055516,0.44,0.44820295983086683,0.4263565891472868,0.38549618320610685,0.35200509229789945,0.46367461430575035
13,0.4806201550387597,0.465818759936407,0.4646128226477935,0.3835289437039984,0.36019784695955775,0.3360481142713946,0.34417040358744394,0.34616523541604977,0.3836232167285519,0.3488372093023256,0.23413312693498453,0.2238574748257165,0.2115621156211562,0.19668100799016594,0.37579617834394907,0.34397810218978103,0.31913959613696224,0.3517915309446254,0.31179775280898875,0.2715008431703204,0.4321880650994575,0.3886363636363636,0.39086294416243655,0.37272727272727274,0.3412994772218073,0.3146067415730337,0.340632603406326,0.25064466219700876,0.4186046511627907,0.39775910364145656,0.35294117647058826,0.3611650485436893,0.32464028776978415,0.42521008403361343
14,0.41954022988505746,0.38461538461538464,0.3949579831932773,0.35053981106612686,0.30220061412487204,0.29929078014184396,0.28614518399356526,0.2935,0.34262295081967215,0.2688679245283019,0.2088274044795784,0.19198174706649282,0.16489607390300232,0.17440758293838862,0.3435897435897436,0.32786885245901637,0.2839506172839506,0.3056768558951965,0.23890784982935154,0.22518159806295399,0.3553008595988539,0.347682119205298,0.368,0.31952662721893493,0.30408653846153844,0.4444444444444444,0.26215644820295986,0.21214511041009465,0.30303030303030304,0.3177570093457944,0.35294117647058826,0.31347962382445144,0.2706359945872801,0.35860655737704916
15,0.3416856492027335,0.3006993006993007,0.34492753623188405,0.26990291262135924,0.27175925925925926,0.23223300970873786,0.24516369047619047,0.265158371040724,0.2814814814814815,0.2833333333333333,0.1553030303030303,0.1466346153846154,0.11336032388663968,0.10304054054054054,0.3148148148148148,0.21646341463414634,0.1927409261576971,0.23255813953488372,0.1813186813186813,0.14965986394557823,0.33014354066985646,0.2554347826086957,0.29411764705882354,0.23655913978494625,0.29493087557603687,0.17647058823529413,0.20346320346320346,0.1893644617380026,0.26666666666666666,0.31386861313868614,0.16,0.27472527472527475,0.21311475409836064,0.29820359281437125
16,0.2214765100671141,0.25,0.2874251497005988,0.23484848484848486,0.18343815513626835,0.17831541218637992,0.15727502102607233,0.1725997842502697,0.21406727828746178,0.26666666666666666,0.11461318051575932,0.12834224598930483,0.12880143112701253,0.08823529411764706,0.2727272727272727,0.21935483870967742,0.1889763779527559,0.14193548387096774,0.15492957746478872,0.1437125748502994,0.24358974358974358,0.23529411764705882,0.2,0.15789473684210525,0.1935483870967742,0.18181818181818182,0.13793103448275862,0.16052631578947368,0.2631578947368421,0.15517241379310345,0.3076923076923077,0.25609756097560976,0.24568965517241378,0.22739018087855298
17,0.375,0.17142857142857143,0.32142857142857145,0.17482517482517482,0.21022727272727273,0.19911504424778761,0.16267942583732056,0.11891891891891893,0.2,0.16666666666666666,0.12307692307692308,0.09868421052631579,0.09009009009009009,0.14035087719298245,0.08333333333333333,0.14285714285714285,0.125,0.1935483870967742,0.09523809523809523,0.17647058823529413,0.0,0.3333333333333333,0.2,0.0,0.20930232558139536,0.0,0.07692307692307693,0.09523809523809523,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.15789473684210525,0.2261904761904762
18,0.0,0.5,,0.2222222222222222,0.0625,0.125,0.2857142857142857,0.2,0.2222222222222222,,0.0,0.21428571428571427,0.1111111111111111,0.0,,0.0,0.0,,0.0,0.0,0.25,,,,0.2,,0.0,0.2857142857142857,,0.0,,,0.0,0.375
tsumo,147,258,369,14,25,36,47,58,69,19,28,37,46,5,19S,28S,37S,46S,5S,Zt0,Zt1,Zt2,ZZ,Z1,Z5,11,15,55,Z1S,Z5S,11S,15S,55S,complex
0,0.6293103448275862,0.6235294117647059,0.5882352941176471,0.4990328820116054,0.6311300639658849,0.6413793103448275,0.6504854368932039,0.6145374449339207,0.5045537340619308,0.3472584856396867,0.48739495798319327,0.5962632006498781,0.6261261261261262,0.7333333333333333,0.0,0.3142857142857143,0.45614035087719296,,,0.18958333333333333,0.21495327102803738,0.5,0.16822429906542055,0.25301204819277107,0.28672985781990523,0.16666666666666666,0.3543307086614173,0.5854700854700855,0.2222222222222222,0.14285714285714285,0.5,0.125,0.18181818181818182,0.5495049504950495
1,0.4945652173913043,0.5919540229885057,0.5943661971830986,0.5202474690663667,0.6094364351245085,0.697228144989339,0.6975138121546961,0.628777923784494,0.5106017191977077,0.3257328990228013,0.4529209621993127,0.5553246753246753,0.5772646536412078,0.6940639269406392,0.11290322580645161,0.3333333333333333,0.41875,0.0,,0.22586520947176686,0.19480519480519481,0.5555555555555556,0.18218623481781376,0.21814254859611232,0.3020408163265306,0.27102803738317754,0.373015873015873,0.5071428571428571,0.16666666666666666,0.3333333333333333,0.25,0.1794871794871795,0.41379310344827586,0.522202486678508
2,0.5441478439425051,0.5796316359696642,0.5671487603305785,0.5269745360379802,0.6019076305220884,0.6635046113306983,0.6428383012397785,0.608727994049095,0.5225205236299091,0.3080357142857143,0.4502125075895568,0.5357464028776978,0.6365638766519823,0.6014760147601476,0.17763157894736842,0.28465346534653463,0.40331491712707185,0.3,0.14285714285714285,0.24708051628764596,0.23176470588235293,0.07142857142857142,0.2454728370221328,0.25675675675675674,0.28907835972391394,0.3183673469387755,0.39813953488372095,0.46613545816733065,0.22535211267605634,0.2833333333333333,0.2391304347826087,0.2981366459627329,0.3865546218487395,0.5269736842105263
3,0.5295369877594465,0.5842880523731587,0.5461767626613704,0.5080711676681984,0.5927300652758224,0.6390783884669842,0.6406229378381946,0.5932118164676304,0.5139246431078868,0.3076923076923077,0.4564478626363799,0.511837930192824,0.5955140186915888,0.6088560885608856,0.22053231939163498,0.3181299885974915,0.3525789068514242,0.29508196721311475,0.2777777777777778,0.2532608695652174,0.2412831241283124,0.16216216216216217,0.2690909090909091,0.28772635814889336,0.316945107398568,0.3357487922705314,0.3757677275265215,0.4728434504792332,0.19662921348314608,0.25650557620817843,0.2872340425531915,0.33164556962025316,0.3630573248407643,0.5301778907242694
4,0.5352299040688058,0.5600563578724903,0.5446173388377262,0.5064013573962671,0.5885350318471337,0.6276630083925113,0.6248380829015544,0.585500079757537,0.5130394997712369,0.31893687707641194,0.4540059347181009,0.5064377682403434,0.5657990756506933,0.6047904191616766,0.2315270935960591,0.3110410094637224,0.3549651567944251,0.34615384615384615,0.3108108108108108,0.2633181126331811,0.25,0.38235294117647056,0.26479750778816197,0.303688731682668,0.3354732208363903,0.31736526946107785,0.3853586027499071,0.48342999171499584,0.2330508474576271,0.30952380952380953,0.25333333333333335,0.27393225331369664,0.3534201954397394,0.5037720033528919
5,0.5257371314342829,0.54381049414162,0.5389982556690756,0.5184439973172368,0.5770695160894129,0.6082069257267179,0.5991646704747866,0.575989935901276,0.512886137729897,0.3196564885496183,0.45219298245614037,0.5070839959520023,0.578470254957507,0.6061452513966481,0.1967741935483871,0.2969237628176549,0.37420909912624284,0.3610223642172524,0.3619631901840491,0.2784738041002278,0.27460456942003514,0.25,0.29916897506925205,0.3150621833256564,0.3429310902620511,0.33934426229508197,0.39246263807667314,0.4852240228789323,0.259375,0.28861154446177845,0.3173076923076923,0.28635851183765504,0.37969094922737306,0.5026430348258707
6,0.5118023384072359,0.5403547671840355,0.5313881520778072,0.5090695987051403,0.5632639931374651,0.5981430969366345,0.5959601286851959,0.5718324886636437,0.5065635383190805,0.32588134135855545,0.4525115628697429,0.494354675140288,0.5673177537495641,0.5952662721893491,0.24592391304347827,0.31160817585807943,0.35142503097893435,0.30184804928131415,0.3695652173913043,0.3018867924528302,0.26476496584973885,0.24277456647398843,0.2965174129353234,0.3248924988055423,0.36091462411580855,0.3602251407129456,0.37928863707900534,0.4861227922624054,0.31117021276595747,0.3267776096822995,0.268,0.2896860986547085,0.3468917881811205,0.5128666297731046
7,0.507908611599297,0.5366880957659056,0.5218360071301248,0.5054994388327722,0.5654917319408181,0.5844944057420308,0.5904652498564044,0.56560495706055,0.5012636899747261,0.2901353965183752,0.43906720160481444,0.49376467136150237,0.5518319152630665,0.5866892751165749,0.2468265162200282,0.3163799551234106,0.3450252177900046,0.3209677419354839,0.35094339622641507,0.2840283241542093,0.2718954248366013,0.26953125,0.33451118963486454,0.3314575126617895,0.370918754745634,0.373015873015873,0.3797823797823798,0.4867682437850842,0.30857142857142855,0.30952380952380953,0.2413793103448276,0.33244444444444443,0.37130801687763715,0.4978856909016505
8,0.5247196738022426,0.5303482587064676,0.5098934550989346,0.49669757822403093,0.5558318675319949,0.5765241442895009,0.5765047979063681,0.552153987167736,0.501880071244805,0.32004429678848284,0.4491109748620478,0.4905185584614002,0.5386756810499105,0.5724499523355576,0.23660714285714285,0.30274135876042907,0.3379544860057546,0.32934131736526945,0.3470031545741325,0.3032128514056225,0.2772523643603783,0.2366412213740458,0.2904761904761905,0.33724340175953077,0.37119771863117873,0.29765013054830286,0.3964471403812825,0.49635036496350365,0.27696793002915454,0.3177966101694915,0.2857142857142857,0.29306930693069305,0.3680939226519337,0.4947056991591405
9,0.5171052631578947,0.524746192893401,0.5133079847908745,0.49593293492695883,0.5449850299401198,0.5684374336846573,0.5772230889235569,0.5482248742775652,0.503727634194831,0.3456973293768546,0.45251277683134583,0.4736084452975048,0.5395720546532612,0.5892857142857143,0.19732441471571907,0.2986003110419907,0.3341404358353511,0.3083067092651757,0.3226837060702875,0.34678624813153963,0.27401477832512317,0.24295774647887325,0.3431578947368421,0.3027624309392265,0.37694086554344236,0.35,0.3950920245398773,0.48522550544323484,0.29365079365079366,0.34657039711191334,0.281767955801105,0.3234624145785877,0.3671497584541063,0.4957332804127803
10,0.5148936170212766,0.5237698081734778,0.49430324276950044,0.4943108504398827,0.5434468524251806,0.5671823722456634,0.5612648221343873,0.5450144210960033,0.5015583516102967,0.33067729083665337,0.44061538461538463,0.4854162983913735,0.5392597717052923,0.5663052543786489,0.2636363636363636,0.2922465208747515,0.3461691147280667,0.288107202680067,0.35785953177257523,0.36247723132969034,0.26864330637915546,0.20833333333333334,0.31189710610932475,0.3685800604229607,0.3806870937790158,0.28125,0.37317282889079967,0.48661417322834644,0.2916666666666667,0.3333333333333333,0.2831858407079646,0.3144927536231884,0.3577545195052331,0.4929314483862363
