No call total,Shanten,4,6,8,10,12
0,4,5557,1622,711,473,279
1,3.0,7228,2649,977,391,248
2,3.32,9087,4177,1645,649,316
3,3.52,12052,5181,1970,852,486
4,2.0,23538,15574,7720,3376,1452
5,2.24,13170,12097,7562,3519,1434
6,2.40,9132,6759,3655,1814,940
7,1.0,13578,16739,13582,8508,4468
8,1.16,5084,8330,8411,6020,3240
9,1.24,2150,3175,2956,2021,1156
10,0.0,554,1171,1511,1411,1090
11,0.5,166,470,782,846,740
12,0.9,6,29,55,79,54
No call closed win,Shanten,4,6,8,10,12
0,4,179,26,9,3,0
1,3.0,238,43,7,4,0
2,3.32,383,120,16,2,0
3,3.52,941,217,50,6,0
4,2.0,1869,848,254,62,14
5,2.24,1634,1009,442,124,21
6,2.40,1662,832,298,93,19
7,1.0,2861,2656,1622,752,243
8,1.16,1640,2107,1652,873,344
9,1.24,870,1077,776,381,154
10,0.0,281,495,560,450,310
11,0.5,110,308,451,442,361
12,0.9,6,18,36,47,28
No call open win,Shanten,4,6,8,10,12
0,4,176,26,2,0,0
1,3.0,297,64,15,2,0
2,3.32,581,148,30,4,0
3,3.52,704,202,42,7,1
4,2.0,1783,789,240,64,14
5,2.24,1079,803,358,87,24
6,2.40,584,352,156,48,8
7,1.0,1144,1038,650,309,118
8,1.16,354,536,477,287,111
9,1.24,83,101,99,53,33
10,0.0,6,21,16,10,5
11,0.5,1,5,5,1,4
12,0.9,0,0,0,1,0
No call 0 other,Shanten,4,6,8,10,12
0,4,3659,706,164,54,17
1,3.0,4751,1302,307,67,22
2,3.32,5934,2158,573,129,41
3,3.52,7922,2566,617,125,29
4,2.0,15238,7877,2840,835,213
5,2.24,8385,6104,2957,1001,239
6,2.40,5834,3347,1334,412,105
7,1.0,8452,8282,5030,2294,828
8,1.16,3157,4060,3191,1669,682
9,1.24,1376,1578,1178,575,218
10,0.0,340,562,564,433,225
11,0.5,96,217,264,233,144
12,0.9,4,9,21,21,13
No call 0 other closed win,Shanten,4,6,8,10,12
0,4,133,14,4,1,0
1,3.0,177,28,3,2,0
2,3.32,279,76,9,0,0
3,3.52,687,127,26,1,0
4,2.0,1309,498,112,22,3
5,2.24,1129,596,213,49,4
6,2.40,1139,463,125,27,2
7,1.0,1879,1424,685,251,51
8,1.16,1088,1113,689,257,85
9,1.24,562,562,343,119,37
10,0.0,185,256,238,163,72
11,0.5,69,156,177,142,71
12,0.9,4,5,13,14,8
No call 0 other open win,Shanten,4,6,8,10,12
0,4,142,22,1,0,0
1,3.0,222,39,8,1,0
2,3.32,419,90,19,0,0
3,3.52,501,123,20,5,0
4,2.0,1289,468,135,31,6
5,2.24,748,457,175,35,6
6,2.40,382,201,80,18,1
7,1.0,776,583,270,96,25
8,1.16,210,294,201,101,24
9,1.24,55,63,43,22,7
10,0.0,4,13,7,5,0
11,0.5,0,3,2,0,1
12,0.9,0,0,0,0,0
No call 1 other,Shanten,4,6,8,10,12
0,4,1623,657,344,211,127
1,3.0,2131,994,421,187,92
2,3.32,2699,1583,715,282,129
3,3.52,3546,2073,867,354,184
4,2.0,7169,6026,3472,1584,636
5,2.24,4078,4729,3280,1574,640
6,2.40,2791,2647,1617,812,401
7,1.0,4312,6646,6191,4039,2106
