First row,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,Honor
1,611,14278,18639,14477,26066,25612,17239,16452,12706,24660,32436,38729,48393,49903,49162,38889,33169,25124,20333
2,2838,245,10083,10892,8960,17310,12395,9162,8284,15747,20164,23764,30145,30511,30463,24051,20480,16185,13325
3,2331,2065,140,7200,6420,4635,8030,6078,4313,9371,11371,13393,17416,17577,17514,13656,12081,9692,8349
4,1140,2252,2748,89,5830,5365,2478,5720,4184,7353,8848,9818,12925,13219,13059,10226,9248,7653,7590
5,4040,1447,2500,4637,92,4767,2504,1463,4184,6439,7730,8670,11188,11371,11381,8833,7864,6479,6015
6,4034,5609,2497,5264,5803,103,2703,2254,1102,7669,9242,10200,13047,13217,13329,10003,9022,7610,7516
7,4260,6150,7882,4617,6592,7102,131,2165,2208,9463,11661,13301,17238,17244,17055,13281,11564,9401,8366
8,8226,9214,12030,17335,8890,10704,10080,257,2947,16087,20218,23663,30151,30291,29570,23836,19943,15626,13364
9,12443,16432,17204,25364,25761,14499,18744,14426,606,24917,32727,38625,48314,49665,48174,38255,32801,24604,19836
Second row,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,Honor
1,77,3263,3897,3475,5611,5242,3988,3493,2479,4915,6827,8382,10648,11141,10707,8615,6849,4938,3271
2,1276,50,3416,3700,3018,5302,3623,2854,2398,4608,6301,7940,9820,10260,10208,7978,6451,4819,3213
3,1228,1306,55,3450,3173,2208,3608,2538,1783,4071,5362,6626,8480,8691,8419,6764,5516,4089,2991
4,367,1351,1544,42,2836,2547,1159,2453,1612,3253,4551,5465,6878,7316,7001,5528,4684,3438,2718
5,1559,691,1600,2280,32,2278,1562,630,1543,3065,4095,4823,6098,6429,6205,4995,4087,3083,2400
6,1643,2495,1087,2590,2878,37,1636,1342,393,3540,4539,5601,6987,7173,7091,5410,4507,3486,2626
7,1718,2485,3581,2111,3121,3457,56,1358,1137,3961,5475,6724,8498,8779,8482,6783,5494,3952,2835
8,2470,2830,3687,5309,3038,3655,3465,45,1172,4719,6311,7922,10081,10314,10053,7927,6406,4723,3230
9,2450,3349,3765,5049,5420,3420,3916,3246,83,4975,6937,8410,10824,11183,10728,8615,6847,4954,3442
Total riichi,354614
Total first row,1272335
Total second row,409755
