Tsumogiri joints,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,Honor
1,1,17,740,779,695,1192,1079,734,684,496,1075,1437,1664,2309,2407,2262,1758,1471,1058,518
2,2,45,3,305,235,202,481,261,211,213,432,572,599,868,887,854,642,551,424,292
3,3,28,26,2,180,126,135,223,122,110,268,315,394,525,536,560,416,341,303,217
4,4,24,51,51,3,145,120,85,164,111,235,286,308,436,458,436,324,280,239,196
5,5,73,25,33,71,1,57,29,34,64,119,166,175,247,277,243,181,167,132,118
1,2,18,37,1998,1215,1477,2887,1468,1348,1201,2376,3242,3679,4755,5003,4847,3602,3246,2405,1577
2,1,6,19,835,807,671,1491,947,688,688,1353,1727,2016,2735,2759,2661,2089,1735,1323,1056
2,4,60,8,438,8,516,809,323,592,452,944,1232,1437,1865,1885,1893,1485,1248,1011,836
4,2,122,4,189,8,347,407,146,379,308,506,555,687,912,917,981,710,617,557,529
1,3,24,498,23,1008,1266,874,1301,998,675,1652,2065,2550,3316,3378,3352,2581,2169,1709,1131
3,1,5,139,10,449,439,269,512,371,244,597,715,839,1126,1133,1146,856,711,607,477
3,5,106,61,3,280,4,239,275,122,244,466,550,671,872,931,901,648,622,481,474
5,3,181,77,2,228,6,246,167,67,255,404,492,511,712,748,701,547,465,404,361
2,3,52,3,11,325,182,207,355,156,146,340,431,528,739,734,732,576,461,364,317
3,2,96,1,5,318,153,175,294,163,150,342,392,442,623,664,650,474,436,343,318
3,4,15,41,1,3,122,77,66,123,71,151,161,231,332,282,325,251,201,180,182
4,3,38,89,2,4,179,87,62,137,88,219,217,299,411,374,395,312,250,237,282
4,5,29,22,106,1,3,147,33,46,96,153,215,190,235,294,292,160,198,189,254
5,4,17,27,32,1,0,86,21,27,76,123,133,143,211,226,198,151,146,102,157
Tedashi joints,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,Honor
1,1,23,1575,2246,1594,3026,3048,1939,1855,1430,2794,3539,4517,5441,5621,5625,4347,3690,2723,2140
2,2,210,9,1069,1083,901,1848,1312,878,832,1611,2086,2498,3196,3206,3201,2530,2071,1631,1217
3,3,163,167,6,675,593,468,804,552,431,934,1077,1356,1752,1804,1738,1353,1218,920,782
4,4,88,184,200,5,530,433,219,547,337,695,805,984,1276,1274,1304,1066,874,732,656
5,5,318,131,202,362,2,364,223,101,341,545,640,762,991,959,992,791,638,531,476
1,2,12,24,1554,1569,1403,2639,1921,1370,1240,2502,3173,3969,4884,4915,4964,3857,3269,2476,1952
2,1,6,28,1298,1189,1133,2191,1488,1130,1005,1860,2399,2963,3708,3783,3736,2982,2390,1853,1428
2,4,108,5,409,7,517,873,308,666,589,1063,1394,1588,1997,2127,2070,1629,1447,1118,900
4,2,69,0,250,10,499,648,262,638,455,806,1006,1160,1472,1557,1592,1177,1050,858,685
1,3,15,430,18,970,1255,924,1393,1118,844,1763,2314,2727,3452,3575,3428,2658,2360,1738,1418
3,1,2,235,22,638,775,578,859,683,491,1068,1261,1620,2001,2044,2038,1531,1347,1037,778
3,5,185,48,4,265,4,246,257,108,281,616,748,816,1028,1108,1103,900,760,619,572
5,3,185,62,3,292,5,370,277,122,410,620,739,867,1136,1128,1091,871,756,547,542
2,3,238,5,17,930,870,746,1187,944,665,1501,1970,2294,2891,2980,3004,2326,1972,1610,1257
3,2,208,3,12,863,628,548,1019,700,475,1123,1394,1685,2097,2187,2139,1671,1477,1150,900
3,4,98,145,1,6,558,444,228,563,440,771,995,1115,1474,1490,1485,1176,1016,819,724
4,3,77,170,1,1,613,451,230,644,432,814,957,1196,1487,1522,1545,1155,1037,860,727
4,5,85,68,202,4,4,370,176,101,299,597,667,795,1093,988,1105,888,707,621,541
5,4,84,71,194,2,6,443,137,113,393,581,699,817,1003,1023,1072,805,689,616,527
Combos,1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18,19,Honor
1,7,48,2160,3342,779,2900,3303,33,1026,895,3677,4880,5585,7403,7543,7243,5880,4948,3743,2919
7,1,17,1041,1248,328,1250,1231,31,410,387,1594,2053,2364,3232,3241,3053,2465,2079,1659,1255
2,8,550,35,1826,2454,669,2417,2127,16,732,2855,3621,4525,5546,5652,5652,4474,3767,2909,2216
1,9,156,3232,4123,3246,6174,3974,3470,3449,123,5621,7443,8769,11299,11527,11250,8861,7443,5638,4066
1,6,52,2004,567,938,2549,40,1013,1051,351,2953,3641,4233,5613,5442,5520,4315,3536,2910,2409
6,1,13,930,330,417,1101,31,449,384,160,1307,1622,1857,2355,2437,2455,1832,1565,1353,1018
2,7,360,39,1891,459,761,2289,21,632,667,2286,2992,3465,4485,4489,4479,3624,2884,2333,1792
7,2,387,10,1277,466,434,1457,27,361,399,1443,1890,2178,2862,2860,2952,2247,1874,1567,1186
1,4,8,1187,1328,39,3131,2848,1274,2896,1972,3762,4893,5623,7199,7570,7424,5738,4974,3958,3206
4,1,0,366,427,19,1002,874,348,945,606,1143,1325,1607,2078,2098,2169,1648,1431,1155,954
2,5,344,4,763,769,11,1714,915,460,1272,2074,2726,3145,3935,4214,4040,3229,2699,2129,1798
5,2,434,3,341,541,8,869,436,206,729,1049,1348,1575,1949,2060,2062,1559,1339,1107,895
3,6,309,317,3,729,650,10,696,512,183,1412,1661,1995,2564,2584,2629,1973,1742,1423,1187
6,3,372,468,5,605,618,6,475,365,147,1298,1511,1769,2305,2262,2288,1801,1504,1261,1104
Joint tedashi,Count
"(1, 1)",11860
"(2, 2)",4306
"(3, 3)",2578
"(4, 4)",2130
"(5, 5)",1199
"(1, 2)",24761
"(2, 1)",13685
"(2, 4)",9326
"(4, 2)",4859
"(1, 3)",16382
"(3, 1)",5685
"(3, 5)",4394
"(5, 3)",3574
"(2, 3)",3649
"(3, 2)",3227
"(3, 4)",1582
"(4, 3)",2079
"(4, 5)",1562
"(5, 4)",1052
Joint tsmogiri,Count
"(1, 1)",31008
"(2, 2)",17082
"(3, 3)",9132
"(4, 4)",6787
"(5, 5)",5241
"(1, 2)",25915
"(2, 1)",19784
"(2, 4)",10226
"(4, 2)",7778
"(1, 3)",17630
"(3, 1)",10269
"(3, 5)",5319
"(5, 3)",5527
"(2, 3)",14941
"(3, 2)",10982
"(3, 4)",7454
"(4, 3)",7649
"(4, 5)",5168
"(5, 4)",5157
Combos,Count
"(1, 7)",36753
"(7, 1)",15619
"(2, 8)",27965
"(1, 9)",59263
"(1, 6)",26639
"(6, 1)",11794
"(2, 7)",21481
"(7, 2)",14013
"(1, 4)",37465
"(4, 1)",11027
"(2, 5)",19782
"(5, 2)",10132
"(3, 6)",12223
"(6, 3)",11020
Total riichi,425053
