Turn,0,1,2,3,4+,riichi_in_3,,,,,,,
0,0,0.023,0.195,0.435,0.347,0.008,,,,,,,
1,0.001,0.058,0.301,0.434,0.207,0.017,,,,,,,
2,0.002,0.111,0.392,0.379,0.116,0.029,,,,,,,
3,0.005,0.178,0.449,0.303,0.064,0.046,,,,,,,
4,0.01,0.257,0.469,0.228,0.036,0.062,,,,,,,
5,0.018,0.335,0.457,0.167,0.023,0.08,,,,,,,
6,0.028,0.408,0.424,0.124,0.016,0.094,,,,,,,
7,0.042,0.469,0.382,0.092,0.014,0.108,,,,,,,
8,0.058,0.519,0.337,0.074,0.013,0.113,,,,,,,
9,0.074,0.552,0.295,0.066,0.013,0.117,,,,,,,
10,0.093,0.563,0.27,0.059,0.015,0.114,,,,,,,
11,0.117,0.561,0.246,0.058,0.017,,,,,,,,
12,0.134,0.549,0.235,0.064,0.018,,,,,,,,
1s,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.08577628,,,,,,,,,,,,
1,0.134828713,0.137667164,,,,,,,,,,,
2,0.1884022,0.208789392,0.183941942,,,,,,,,,,
3,0.24719317,0.278458765,0.265354298,0.22695073,,,,,,,,,
4,0.301013341,0.348291583,0.340655034,0.314121991,0.264423718,,,,,,,,
5,0.35348995,0.408660051,0.409251447,0.392735843,0.354412996,0.302747354,,,,,,,
6,0.40249395,0.463054449,0.469499288,0.460484277,0.429422057,0.393837554,0.332804491,,,,,,
7,0.437510332,0.507347796,0.515381454,0.512589128,0.493373928,0.464601494,0.420233344,0.37370514,,,,,
8,0.464948884,0.53451115,0.549570695,0.547879342,0.541218274,0.513475028,0.489690128,0.452919382,0.402743006,,,,
9,0.474013313,0.552182301,0.564869166,0.571082139,0.57093949,0.55173008,0.531650621,0.504524699,0.462009625,0.432294328,,,
10,0.477184294,0.553611463,0.567191389,0.580360013,0.582965861,0.572479627,0.558540877,0.545628446,0.515547633,0.486763149,0.459589041,,
11,0.465783133,0.546240277,0.558802395,0.569826037,0.581230438,0.573279196,0.568086495,0.557848655,0.535300607,0.514356436,0.524856597,0.452336449,
12,0.433159439,0.525697769,0.540890371,0.555602846,0.565646995,0.561587963,0.568653019,0.556211724,0.551044084,0.550601557,0.532432432,0.48245614,0.436619718
2s,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0.165938865,,,,,,,,,,,,
1,0.235772358,0.172042437,,,,,,,,,,,
2,0.252808989,0.215035829,0.271149084,,,,,,,,,,
3,0.288461538,0.266593602,0.332848372,0.334331195,,,,,,,,,
4,0.299319728,0.3056922,0.38819137,0.401398391,0.387916694,,,,,,,,
5,0.346153846,0.346494836,0.433993015,0.457398036,0.45487995,0.42851129,,,,,,,
6,0.324074074,0.380900469,0.481469456,0.5043476,0.506938806,0.493623275,0.465633444,,,,,,
7,0.404255319,0.406341205,0.507703892,0.538999288,0.550535918,0.540521152,0.522593777,0.49540734,,,,,
8,0.320987654,0.42778335,0.522442049,0.557397277,0.574756829,0.572563034,0.558698379,0.545706974,0.522917471,,,,
9,0.26984127,0.43193096,0.530119323,0.564132825,0.589269975,0.58862194,0.578408398,0.576592941,0.556037694,0.531053249,,,
10,0.224489796,0.4294962,0.523791152,0.563507921,0.586473876,0.58913649,0.591627786,0.586633902,0.575445008,0.555796884,0.54017549,,
11,0.272727273,0.414809218,0.511660045,0.545463358,0.57227388,0.581110181,0.585588794,0.578141569,0.575207553,0.565934632,0.542291372,0.549348934,
12,0.1875,0.383951244,0.486461467,0.52103263,0.552860636,0.560800791,0.568378865,0.564884086,0.560854334,0.555412739,0.540055799,0.542794036,0.545285129
3s,0,1,2,3,4,5,6,7,8,9,10,11,12
0,0,,,,,,,,,,,,
1,,0.377777778,,,,,,,,,,,
2,,0.391304348,0.27828619,,,,,,,,,,
3,0,0.388888889,0.303580186,0.418293936,,,,,,,,,
4,0,0.242424242,0.322860238,0.456751055,0.477369324,,,,,,,,
5,0,0.272727273,0.349022005,0.486497462,0.50947195,0.521340247,,,,,,,
