,sanmenchan,ryanmen,penchan,kanchan,tanki,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2735,11177,0,0,734,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2756,12740,0,3604,595,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2682,14199,3237,3646,620,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,14012,0,3004,232,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,12688,0,2489,639,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,11392,0,2968,225,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,3349,3737,650,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,3720,647,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,0,712,,,,,,,,,,,,,,,,,,,,,,,,,,,
honor,0,0,0,0,1538,,,,,,,,,,,,,,,,,,,,,,,,,,,
honor 1,0,0,0,0,1504,,,,,,,,,,,,,,,,,,,,,,,,,,,
honor 2,0,0,0,0,269,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,honor,,,,,,,,,,,,,,,,,,,,,,
1,81,278,220,189,254,183,196,254,290,709,,,,,,,,,,,,,,,,,,,,,,
2,0,96,256,239,234,191,222,251,232,710,,,,,,,,,,,,,,,,,,,,,,
3,0,0,55,201,198,127,161,190,190,619,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,32,236,141,134,177,195,604,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,55,243,184,249,259,722,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,0,0,31,196,235,194,610,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,0,0,0,61,282,236,597,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,0,0,0,0,99,310,730,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,0,0,0,0,0,118,712,,,,,,,,,,,,,,,,,,,,,,
honor,0,0,0,0,0,0,0,0,0,599,,,,,,,,,,,,,,,,,,,,,,
,sanmenchan,ryanmen,penchan,kanchan,tanki,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1234,9232,0,0,810,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1406,13654,0,4315,1117,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1213,16237,4254,6482,1160,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0,16088,0,6363,881,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0,13727,0,5465,1323,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0,9175,0,6241,911,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0,0,4328,6727,1146,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,4358,1176,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,0,832,,,,,,,,,,,,,,,,,,,,,,,,,,,
honor,0,0,0,0,1639,,,,,,,,,,,,,,,,,,,,,,,,,,,
honor 1,0,0,0,0,952,,,,,,,,,,,,,,,,,,,,,,,,,,,
honor 2,0,0,0,0,288,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,honor,,,,,,,,,,,,,,,,,,,,,,
1,113,316,284,267,351,274,270,295,316,1544,,,,,,,,,,,,,,,,,,,,,,
2,0,246,658,689,729,579,646,773,279,1444,,,,,,,,,,,,,,,,,,,,,,
3,0,0,182,589,662,576,511,654,273,1320,,,,,,,,,,,,,,,,,,,,,,
4,0,0,0,156,653,562,586,613,297,1434,,,,,,,,,,,,,,,,,,,,,,
5,0,0,0,0,195,669,660,735,371,1790,,,,,,,,,,,,,,,,,,,,,,
6,0,0,0,0,0,166,589,701,288,1485,,,,,,,,,,,,,,,,,,,,,,
7,0,0,0,0,0,0,169,618,299,1277,,,,,,,,,,,,,,,,,,,,,,
8,0,0,0,0,0,0,0,244,325,1482,,,,,,,,,,,,,,,,,,,,,,
9,0,0,0,0,0,0,0,0,82,1563,,,,,,,,,,,,,,,,,,,,,,
honor,0,0,0,0,0,0,0,0,0,2370,,,,,,,,,,,,,,,,,,,,,,
Total riichi,142461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riichi width avg,6.409887618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complex waits,4894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total open,182490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complex waits open,4537,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
