,1,2,3,4,5,6,7,8,9,Dragon,Wind,Wall,,,,,,,,,,,,
4,2.762886511,2.587147083,2.529443272,2.519905774,2.515171413,2.522584381,2.527634776,2.588645212,2.763462025,2.797548439,2.947992683,84.35818193,,,,,,,,,,,,
6,2.696380663,2.499817104,2.420789493,2.399018783,2.387664377,2.401622637,2.41892774,2.500137691,2.696227883,2.735098959,2.872262095,78.64371589,,,,,,,,,,,,
8,2.609077251,2.397581501,2.313704041,2.280992697,2.264236875,2.282682116,2.311285897,2.397117838,2.610991715,2.624677302,2.776435023,72.89870262,,,,,,,,,,,,
10,2.495549583,2.273744555,2.1922552,2.153121667,2.131957969,2.152868636,2.191597817,2.271979089,2.498972894,2.478757359,2.654856085,67.07951752,,,,,,,,,,,,
12,2.346595587,2.122102774,2.053310777,2.008733624,1.985707268,2.008811394,2.048179487,2.121791964,2.354748772,2.306721418,2.502799821,61.19644511,,,,,,,,,,,,
14,2.161734856,1.952799868,1.888263212,1.847311223,1.824792215,1.846041332,1.885216067,1.950912409,2.167395835,2.108271917,2.320934132,55.28715773,,,,,,,,,,,,
16,1.94713094,1.758055678,1.703463127,1.665659209,1.64404895,1.663487389,1.697807717,1.753503856,1.950217496,1.876636876,2.09400992,49.37015954,,,,,,,,,,,,
18,1.887095015,1.675092387,1.6223526,1.591805008,1.558747909,1.584967684,1.627063235,1.677745098,1.870607553,1.678380841,1.877915167,45.54611242,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,Dragon,Wind,,,,,,,,,,,,,
4,2.322738546,2.165141245,2.062495759,2.078185967,2.085085156,2.073619345,2.062832385,2.160286024,2.316334482,2.455688159,2.523798392,,,,,,,,,,,,,
6,2.292063401,2.105383791,1.981375152,1.978606318,1.974828288,1.975078121,1.982520024,2.104152821,2.287294038,2.433729581,2.495392407,,,,,,,,,,,,,
8,2.256700841,2.050000111,1.909285327,1.891487619,1.879845723,1.890939592,1.912496306,2.047927214,2.254066477,2.389300484,2.453808917,,,,,,,,,,,,,
10,2.212854786,1.989532483,1.844478928,1.809318941,1.792536412,1.808741929,1.845128168,1.986261473,2.212893538,2.336706432,2.409545522,,,,,,,,,,,,,
12,2.154094945,1.922641438,1.774140669,1.726783617,1.707690412,1.732434532,1.777791117,1.918694894,2.153949457,2.271190846,2.357875446,,,,,,,,,,,,,
14,2.078313131,1.83521343,1.69940532,1.64457911,1.621929599,1.65040197,1.702030409,1.830059961,2.078013182,2.186345566,2.295932319,,,,,,,,,,,,,
16,1.976525766,1.734392923,1.60990652,1.556273934,1.528401694,1.556841348,1.614281104,1.725525683,1.979837571,2.078946791,2.213867812,,,,,,,,,,,,,
18,1.921700926,1.663639299,1.566907504,1.500244444,1.460402838,1.49251279,1.565687907,1.649533272,1.934882029,1.780986657,2.01860013,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,Dragon,Wind,,,,,,,,,,,,,
4,1.691614367,1.556087157,1.436550443,1.45391044,1.461165049,1.450563362,1.429711752,1.552917671,1.685110747,1.830709918,1.854136933,,,,,,,,,,,,,
6,1.672258963,1.516000473,1.387839601,1.397791998,1.392290659,1.392219388,1.390769668,1.514394516,1.665283424,1.821818994,1.835448895,,,,,,,,,,,,,
8,1.656944239,1.487564244,1.352502085,1.34037878,1.336634727,1.340396243,1.354287953,1.486112721,1.649764898,1.804210255,1.815146565,,,,,,,,,,,,,
10,1.64263749,1.463423256,1.321488136,1.299295325,1.285124155,1.298258234,1.325391635,1.460602087,1.636782709,1.786021077,1.80052422,,,,,,,,,,,,,
12,1.627002091,1.437226793,1.296807415,1.263039042,1.243373834,1.260511728,1.300667799,1.436547867,1.622547194,1.767594791,1.787426637,,,,,,,,,,,,,
14,1.6067922,1.412671642,1.272039628,1.233455882,1.208647307,1.232912108,1.274339067,1.412712723,1.603638688,1.744402496,1.773860615,,,,,,,,,,,,,
16,1.576331058,1.381596068,1.248647209,1.200427622,1.176323613,1.205332201,1.248217912,1.382579419,1.574928855,1.712427441,1.752202342,,,,,,,,,,,,,
18,1.568374331,1.358804886,1.229730368,1.178115826,1.13779182,1.173747622,1.230189216,1.367683303,1.567417443,1.592590567,1.696363763,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,Dragon,Wind,,,,,,,,,,,,,
4,0.88742493,0.821068548,0.733668342,0.776397516,0.741935484,0.778393352,0.720221607,0.809105869,0.888689408,0.964195112,0.962757443,,,,,,,,,,,,,
6,0.877149088,0.797001621,0.724489796,0.73960217,0.732013201,0.74301676,0.727042661,0.786247503,0.874851706,0.957903446,0.954620879,,,,,,,,,,,,,
8,0.871062356,0.780807635,0.702496065,0.71201979,0.699468609,0.702171062,0.703229462,0.774543803,0.869244361,0.952964622,0.946584344,,,,,,,,,,,,,
10,0.868209324,0.773216008,0.689870943,0.697907457,0.677024761,0.683361947,0.688982338,0.769315782,0.866587842,0.948886584,0.941949562,,,,,,,,,,,,,
12,0.867864952,0.768293614,0.681323348,0.67432598,0.667861332,0.66880364,0.686797862,0.769726559,0.862532784,0.946909031,0.941126503,,,,,,,,,,,,,
14,0.862541057,0.767026403,0.679069308,0.660952795,0.653344732,0.659649582,0.685770492,0.763370762,0.859077057,0.943643618,0.939466631,,,,,,,,,,,,,
16,0.858516435,0.764950394,0.670658303,0.651906061,0.646010229,0.651273686,0.676918646,0.761485903,0.852222144,0.940082188,0.937210099,,,,,,,,,,,,,
18,0.860591383,0.764825564,0.673323426,0.640128117,0.641768079,0.64301578,0.68328064,0.760934545,0.859031183,0.946079968,0.941826313,,,,,,,,,,,,,
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4,22.26670186,22.33812455,22.3476002,22.34207938,22.27636273,22.12805378,22.04392073,21.82241015,21.67961165,21.2,19,,,,,,,,,,,,,
6,20.85606258,20.93269433,20.97228344,20.87837879,20.82726452,20.70450313,20.5718076,20.35194175,20.21338156,19.93883357,19.63849765,19.06896552,19.71428571,18,19.5,,,,,,,,,
8,19.47552448,19.60014911,19.58725547,19.58353988,19.50969851,19.36239202,19.19837956,19.04752211,18.85413499,18.63466144,18.3941537,18.10836278,17.94407895,17.54867257,16.94285714,17.63636364,17,,,,,,,
10,18.22325581,18.2962963,18.23773923,18.23481841,18.15605039,18.07040557,17.93226608,17.75102749,17.56300289,17.36942536,17.18451457,16.93670512,16.61398522,16.40495868,15.92913386,15.73913043,15.81034483,15.79166667,12.66666667,12,,,,
12,16.16666667,16.96264368,16.91586074,16.93617903,16.77749655,16.69964508,16.6677386,16.46976158,16.30577015,16.12485264,15.85947073,15.69972851,15.52464604,15.21504462,15.00454201,14.63368984,14.57180851,14.11445783,13.59036145,13.46875,12.75,12.66666667,11.5,8
14,15,15.26168224,15.37941176,15.6314554,15.19542362,15.37624861,15.22239462,15.1502008,14.98791837,14.83719099,14.67051832,14.43377299,14.2718925,14.09367681,13.85817717,13.69402036,13.47466391,13.3358209,12.9375,12.40883978,11.86764706,11.93103448,11.26315789,9.444444444
16,13.36363636,13.62857143,13.94782609,13.79401993,13.80844156,13.9768304,13.78357314,13.62230216,13.58823529,13.48694187,13.32363437,13.18220452,13.10404949,12.79178697,12.63908314,12.55475157,12.39056356,12.18817734,11.95499297,11.62962963,11.39405204,11.35606061,10.75714286,9.5
18,11,13.6,12.75,13.31578947,12.72368421,12.79518072,12.66666667,12.81201044,12.81176471,12.72669826,12.58084577,12.42628571,12.37712344,12.10567297,12.12222222,11.93258427,11.66229508,11.73434535,11.29281768,11.38582677,10.89130435,10.69369369,10.6557377,9.576271186
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
4,56559,131380,147984,104492,53162,20452,6219,1533,344,36,7,0,0,0,0,0,0,0,0,0,0,0,0,0
6,12628,47520,89701,110301,99477,69030,38868,18165,7295,2367,710,200,38,6,2,0,0,0,0,0,0,0,0,0
8,2793,13517,34392,59499,76702,79925,67074,47211,28674,15063,7129,2805,1108,355,114,29,8,2,0,0,0,0,0,0
10,719,3724,11037,23158,37232,49477,55247,51502,42532,30689,19646,11355,5845,2825,1242,524,184,66,23,6,1,0,0,0
12,197,1117,3481,7969,14685,22525,29495,34024,34639,30916,25361,18726,12792,7793,4474,2456,1250,542,257,100,37,13,8,2
14,73,370,1151,2797,5336,9057,13161,16732,20127,20723,20031,18059,14533,11328,7807,5327,3350,1875,1086,545,253,106,46,31
16,32,117,404,1067,2084,3555,5513,7436,9643,11487,12238,12399,11782,10376,8499,6788,5071,3505,2412,1466,879,456,238,194
18,5,11,42,149,274,547,851,1234,1635,2199,2558,2824,2882,2904,2819,2344,2074,1684,1304,887,572,391,188,233
,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,
1,,2.896289847,2.886900071,2.772321238,2.737059329,2.737659563,2.760475957,2.756507234,2.773894981,,,,,,,,,,,,,,,
2,2.670569505,,2.79897836,2.738309362,2.565640793,2.622390911,2.599075668,2.582024802,2.583847054,,,,,,,,,,,,,,,
3,2.612529374,2.73812086,,2.764693847,2.621512429,2.496130813,2.532954766,2.518942454,2.52003334,,,,,,,,,,,,,,,
4,2.473967439,2.645861901,2.753102766,,2.78425003,2.654948045,2.487812825,2.540657968,2.518728128,,,,,,,,,,,,,,,
5,2.521653517,2.464784253,2.634019997,2.747647369,,2.766196622,2.638626401,2.470717946,2.52319302,,,,,,,,,,,,,,,
6,2.522211041,2.542815958,2.496289061,2.655938095,2.764469551,,2.771315541,2.655285702,2.476566294,,,,,,,,,,,,,,,
7,2.520268349,2.521453076,2.529439872,2.489638238,2.614715958,2.754154565,,2.754451761,2.61451178,,,,,,,,,,,,,,,
8,2.585289083,2.584162214,2.608911328,2.617243665,2.569507154,2.729832985,2.791554219,,2.685394998,,,,,,,,,,,,,,,
9,2.785586497,2.765131124,2.763979392,2.728154811,2.752672777,2.75620803,2.881043949,2.881103504,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,
1,,2.673040553,2.677385391,2.633269987,2.595344029,2.598690569,2.609460895,2.612157215,2.608213327,,,,,,,,,,,,,,,
2,2.403899951,,2.523832594,2.488595422,2.401615521,2.411624999,2.402824865,2.39735105,2.396553705,,,,,,,,,,,,,,,
3,2.313069004,2.405287591,,2.46364204,2.381155655,2.296660894,2.311911756,2.308896712,2.313492892,,,,,,,,,,,,,,,
4,2.276885849,2.331406515,2.423231437,,2.449278494,2.358758582,2.264870941,2.28551464,2.27987709,,,,,,,,,,,,,,,
5,2.261077242,2.243895086,2.325027577,2.408411898,,2.416782221,2.326182516,2.245542907,2.261793576,,,,,,,,,,,,,,,
6,2.281963604,2.285247731,2.262501872,2.357431762,2.442675022,,2.435605882,2.332004505,2.276931433,,,,,,,,,,,,,,,
7,2.310100808,2.310446051,2.31194106,2.291472199,2.370400715,2.454475627,,2.41645484,2.312106774,,,,,,,,,,,,,,,
8,2.398388113,2.396944119,2.405067224,2.411774702,2.398438029,2.485254413,2.512332211,,2.409912291,,,,,,,,,,,,,,,
9,2.616476211,2.617391781,2.614758208,2.590544075,2.600438819,2.629630043,2.675106016,2.664509247,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,
1,,3.031227507,2.953922542,2.758598028,2.720781032,2.702132151,2.771291336,2.757421034,2.797697611,,,,,,,,,,,,,,,
2,2.867053609,,2.945478529,2.808235099,2.568828745,2.625143044,2.614745884,2.57709368,2.580060527,,,,,,,,,,,,,,,
3,2.810956211,2.997542031,,2.904292343,2.672885824,2.51137384,2.521882952,2.523113316,2.514304488,,,,,,,,,,,,,,,
4,2.383753294,2.78318398,2.926884139,,2.932869911,2.739228007,2.480589366,2.575473838,2.523998399,,,,,,,,,,,,,,,
5,2.544854394,2.437337724,2.715788171,2.888037463,,2.91162262,2.712333918,2.432194046,2.541384248,,,,,,,,,,,,,,,
6,2.532845915,2.580987261,2.505047956,2.742261992,2.904022302,,2.942998604,2.79402355,2.394607825,,,,,,,,,,,,,,,
7,2.512138539,2.516636575,2.518675299,2.494508713,2.6773021,2.878416729,,3.006941663,2.817251195,,,,,,,,,,,,,,,
8,2.578694362,2.593717472,2.622612141,2.650536773,2.574901598,2.819700068,2.928327138,,2.878666464,,,,,,,,,,,,,,,
9,2.8062637,2.774365621,2.768177613,2.709177346,2.717446094,2.746657754,2.913984903,2.999550486,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,,,,,,,,,,,,,,,
1,,2.757571639,2.721550985,2.648982518,2.560628916,2.568721516,2.605589307,2.609842496,2.640616773,,,,,,,,,,,,,,,
2,2.524793137,,2.65715014,2.557747375,2.399459129,2.405579813,2.399497422,2.391410761,2.393683885,,,,,,,,,,,,,,,
3,2.432548298,2.609346694,,2.614951287,2.421172735,2.28614214,2.307836735,2.298946457,2.301184694,,,,,,,,,,,,,,,
4,2.222010594,2.41511405,2.579244446,,2.596368671,2.405236559,2.249384907,2.294380051,2.276049814,,,,,,,,,,,,,,,
