,1,2,3,4,5,6,7,8,9,Dragon,Wind,Wall
4,2.582045699,2.509534916,2.51477398,2.507967865,2.504612105,2.50387114,2.509663218,2.521068507,2.592986867,2.582565917,2.63746057,84.33137399
6,2.461140901,2.371796863,2.366300631,2.35304034,2.35484477,2.351610808,2.362952606,2.385296031,2.474905019,2.46066895,2.527221794,78.60158097
8,2.329764545,2.235476548,2.223922395,2.200955459,2.203653979,2.204771145,2.220809684,2.253059497,2.34671794,2.316517241,2.399931479,72.84572969
10,2.175124562,2.084196721,2.079078384,2.054473558,2.054556637,2.048810639,2.074874699,2.090137998,2.18814651,2.146375963,2.223626559,67.023557
12,1.996416785,1.924110875,1.927938537,1.906968085,1.898905841,1.901512713,1.915172643,1.932962679,2.019617606,1.961571863,2.039884922,61.14754217
14,1.828212502,1.767330199,1.770435083,1.75363384,1.741855027,1.740948662,1.76200559,1.759636079,1.830479452,1.762700682,1.831605143,55.25270387
16,1.647602823,1.569816643,1.588394427,1.592768304,1.563338668,1.573291139,1.580131579,1.590620272,1.638156273,1.538637478,1.615730337,49.34244596
18,1.552915767,1.475124378,1.524779736,1.475393701,1.437560038,1.481520042,1.467640919,1.457617072,1.548034934,1.407126168,1.474264706,45.49558284
,1,2,3,4,5,6,7,8,9,Dragon,Wind,
4,2.212023184,2.153284672,2.097046414,2.130805687,2.108474576,2.160204082,2.113675214,2.148904567,2.220285858,2.332636608,2.322846303,
6,2.144828839,2.056497175,1.98317065,2.012856569,1.984902309,2.002443992,1.994150146,2.072216293,2.160971841,2.298134884,2.299867413,
8,2.073002755,1.961872516,1.885220474,1.883143744,1.852637615,1.894441611,1.894485454,1.984735864,2.101041078,2.255748979,2.23974788,
10,1.998582996,1.892072886,1.798007058,1.765332099,1.758193548,1.787697957,1.801485347,1.902319044,2.022237328,2.186755208,2.185109638,
12,1.903943662,1.803237129,1.718757467,1.672088143,1.673893935,1.682518597,1.711376404,1.811409034,1.940002697,2.08449592,2.099149712,
14,1.801197093,1.69459607,1.620566222,1.568347826,1.562940958,1.585357391,1.625617284,1.701715138,1.833055787,1.953711426,1.995319044,
16,1.677804296,1.590163934,1.501153669,1.476352999,1.455802469,1.468064824,1.535223368,1.565249814,1.698428291,1.831409584,1.816460905,
18,1.557534247,1.437106918,1.371335505,1.396193772,1.338855422,1.365539452,1.456964006,1.430727023,1.569832402,1.506756757,1.621533442,
,1,2,3,4,5,6,7,8,9,Dragon,Wind,
4,1.649667406,1.571428571,1.492063492,1.44,1.441860465,1.470588235,1.534883721,1.537572254,1.672692674,1.796296296,1.769062386,
6,1.623524452,1.481481481,1.505415162,1.469298246,1.368421053,1.413043478,1.401486989,1.569190601,1.646253328,1.797027909,1.772336927,
8,1.579489822,1.471671388,1.372634643,1.352272727,1.370967742,1.322717622,1.405523256,1.502138057,1.6033637,1.786121437,1.764935246,
10,1.571075124,1.432459677,1.332096475,1.309466019,1.260387812,1.308788599,1.310964083,1.43951262,1.582994304,1.775243917,1.761294766,
12,1.548387097,1.383204633,1.287649402,1.243731194,1.217633929,1.263618677,1.281531532,1.407937807,1.545895852,1.750413451,1.742291838,
14,1.518830973,1.344414169,1.261806131,1.210784314,1.180672269,1.225393701,1.228549734,1.390151515,1.523493643,1.711882998,1.710442316,
16,1.472456775,1.279623824,1.239592969,1.151758794,1.156926407,1.173604061,1.203301477,1.346020761,1.471662229,1.656547466,1.679563492,
18,1.416785206,1.282758621,1.145348837,1.042857143,1.067669173,1.107142857,1.126470588,1.255813953,1.41260745,1.4739819,1.568965517,
,1,2,3,4,5,6,7,8,9,Dragon,Wind,
4,0.941176471,0.857142857,1,0.5,0,1,0,0.875,0.862068966,0.972752044,0.968668407,
6,0.87037037,0.867924528,0.727272727,0.666666667,0.714285714,0.833333333,0.6,0.754716981,0.855072464,0.971452561,0.963536919,
8,0.88774003,0.81097561,0.776119403,0.709090909,0.611111111,0.674418605,0.610169492,0.780898876,0.871410737,0.968065693,0.960922787,
10,0.854499579,0.784090909,0.716216216,0.65648855,0.72826087,0.717948718,0.650306748,0.836228288,0.865327381,0.969111969,0.96639832,
12,0.869446343,0.785299807,0.677655678,0.661290323,0.707317073,0.670157068,0.68989547,0.787969925,0.869538835,0.973356502,0.959727184,
14,0.855591054,0.771293375,0.669376694,0.669064748,0.647058824,0.623616236,0.68622449,0.782552083,0.86235787,0.971848225,0.962343096,
16,0.849858357,0.745913819,0.631188119,0.663398693,0.648648649,0.639344262,0.681498829,0.80071599,0.852407755,0.963799283,0.957282343,
18,0.850446429,0.736363636,0.605442177,0.512396694,0.655913978,0.608,0.697674419,0.774193548,0.84086444,0.971428571,0.958146487,
